,리뷰
0,이사온지 3주되었습니다. 단지내 공원도 맘에 들고 여유가 느껴지는 단지입니다.
1,"얼마전 31평형 이사와서 질 살고 있습니다. 
이제 곧 더워질거 같아 에어컨을 사려고 하는데요. 
17평용 에어컨 2 in1(거실 스탠드1, 안방 벽걸이1)생각하고 있습니다. 적당할까요? 
경험공유 부탁드려요."
2,"동네가 조용하고 단지내 산책로가 맘에 들어요~
정자역도 가까운 편이라서 이동도 용이합니다"
3,주차난은 없는지 궁금합니다. 이중주차를 하기도 하나요?
4,지저분한 새 둥지가 있는 나무를 밑둥까지 베어버리는 청결한 아파트입니다. 새똥으로 힘들어할까봐 둥지도 다 날려버려서 뷰가 좋네요
5,"이사온지 얼마 안됐는데 살기 정말 좋네요 단지 산책로 예쁘고 장보기도 좋아요 역가까운거야 다 아실거구요 단하나 구축이라는게 단점이었는데 수리하고 들어오니 장점밖에 없네요 신축도 살아봤지만 지금 집이 백배천배 좋아요 
걷는거 싫어하던 제가 동네 걷는 재미에 빠졌네요 ㅎㅎ"
6,15년을 살았는데 모든것들이 살기좋아요 끝까지 살고싶은 동네입니다
7,"위치가 너무좋지만 오래된 아파트의 단점 ㅠ 
배관냄새/우풍/주차문제"
8,모드 동에 엘리베이터는 교체된건가요?
9,57평 22.9억 신고가 축하합니다!!!*^^*
10,"정자역 학원 학교 가깝고 인프라 훌륭하네요~
복작거리지 않으면서 있을 건 넘치도록 있어 신기합니다~
아이들 초중 전학했는데 학교 분위기 너~무 좋다고 합니다~
새아파트 살다와서 구축 생활에 대한 두려움이 컸는데
인테리어 하고 들어오니 오히려 더 만족스럽네요~
탄천에서 강아지랑 산책 하며 힐링할 수 있고~ 
분당서울대 병원도 가까워서 든든합니다~
각종 호재와 변화의 움직임이 가득해서~
오래오래 살고 싶어요~"
11,"스세권, 케세권, 버세권입니다.
(스타벅스, 버거킹, KFC)"
12,"탑층 어떤가요? 춥거나 덥거나, 무슨 기계음 들리거나 그런거 혹시 있나요?"
13,입주예정인 사람인데요  혹시 단지내 지하주차장에 전기차용 충전기가 있을까요? 있다면 운영상황은? (너무 대기가 많다던지...)
14,오래된 단지이긴 하지만 단지와 위치가 좋아 실거주 후기가 궁금합니다!
15,"재개발 이슈가 몰리면서 더 꽉쥐고 있어야하는 곳이 아닌가합니다. 결국엔 입지일테니... 
여기서산지 3년정도 되어가는데 1층 출입문 가끔 안열리는것;; 빼고는(요즘은 비번 입력으로 해결되긴 했죠) 만족스럽게 잘 살고 있습니다 :)"
16,십수년째 거주중입니다 지금까지 만족도 높게 살아왔고 앞으로도 그럴것이라 이사계획따윈 없네요ㅎㅎ 그냥 이웃분들 반갑고 무슨 말씀 하시나 궁금해서요
17,"주차자리도 있는데 대놓고 이중주차하는 특히 324동 앞에 아반떼, 스파크 하.. 진짜 개념..어디두고 사는지  참나..본인만 편하면 된다 이건가?"
18,단지관리는 잘되나 아파트가 오래되어 그런지 층간소음이 너무 심합니다..
19,25년 산 친정집 지금 저는 서울나와 살지만 분당 특히 정자동 만한 입지가 없네요 탄천에 바로앞 큰 산책로등. 구축인거 빼곤 다 좋아요.특히나 아이 생기고 초등학교 입학즈음 되면 다시 돌아가려 합니다
20,앞에산책길이 너무좋아요 역이랑 탄천도가깝고 살기최고
21,여름엔 시원하고 겨울에 따뜻한 곳입니다
22,단지가 넓고 마트 및 지하철역이 가까워서 좋음
23,베란다가 넓게빠져 확장만해도 26평 거실도 넓어지더라구요 ㅎㅎ매우 만족합니다.ㅎㅎㅎ 조명까지 하고나니까 만족감이 넘쳐나네요 ㅎㅎ 이제 커튼 주문한것만 달면 드디어 인테리어 졸업입니다~~
24,"인테리어 해보니 새집 부럽지 않아요^^
교통 너무 좋은 상록우성 넘 기대대요^^"
25,이번달에 이사하는데요. 늦게 퇴근하면 주차가 많이 어려운가요?
26,"교통, 인프라 경기도 최고 입지입니다
오래된 아파트라서 불편함은 좀 있어요
주차, 수도 등등"
27,"마트, 지하철 가깝고 아이 키우기 아주 좋아요"
28,노후된 아파트이지만 교통이 좋아서 살기 좋아요
29,다른분들 녹물 안나오나요? 저희집은 녹물이(필터 색이 금방변함) 나오는듯 한데 수도관 교체한지도 오래 돼서 일까요?
30,상가에서 혼다 끌고 깝치는 아저씨 누구에요?
31,건물은 오래됐지만 산책로가 잘 닦여 있습니다! 조용하고 걸어서 정자역 가기도 편해요
32,"26평에 곧 이사갈 사람입니다.
다름이 아니라 부엌옆 베란다에 엘지 드럼세탁기(21kg, 가로 약 70cm)  설치 가능할까요?
샷시가 튀어나와서 사이즈가 71cm 정도 되긴한거 같은데 뭔가 애매해 보여서 걱정입니다. 

추가로 미니워시가 있는데 이것도 설치하고 싶은데 수도꼭지가 걸릴거 같은데 궁금합니다. 미리 감사합니다."
33,"1층 벌레 많이 나와요 .. 평생 볼 벌레 종류란 종류는 다본듯
아랫층 층간소음 스트레스는 없다는 최대 장점때문에 참고 살아요"
34,"산책할수있는 공원과 합리적 가격의 단지 내 마트, 역에서 가깝고 버스정류장도 바로 앞이고 너무좋아요"
35,몇십년째 사는데 단지 내 조경시설이나 나무도 많고 너무 살기 좋음~!
36,상록우성 주차도 분당내 단지와 비교하면 편하고 정자역이랑도 가깝고 탄천도 가깝고 저는 너무너무 마음에 들어요 분당대장입니다!!
37,"분당에서만 이곳저곳 이사하며 25년 넘게 살았는데,
손꼽히는 주변 인프라입니다!!
단지가 크다보니 정문/후문간 거리가 조금 되서 불편하다는 분들도 있으신데.. 세살배기 애들도 별 무리없이 왔다갔다 할만한 거리라 전혀 불편없습니다!!"
38,"아파트 가운데 산책길이 너무 예쁘고 분당에서도 대규모 단지에 큰평수도가 많아서 구축인데 주차 스트레스도 적어요
정말 살기 좋은 동네에요 정자역이랑도 가깝고"
39,구축에 비해 주차 편하고 정자역까지 나무 우거진 산책길은 정말 최고예요~^^
40,상록마을 46평이 왜 라이프 46평보다 낮은지 궁금합니다
41,"버거킹, KFC랑 스타벅스가 가까이 있어요!"
42,엘베 공사가 계속 진행중인지라 소음이 많네요. 소음 많은 날은 미리 알려주시면 좋겠어요(온 가족이 재택중인지라 ㅠ)
43,엘베 교체 완료
44,"아이 키우기 좋아요~ 단지 커서 놀이터도 많고 학교 유치원 가깝고 근처에 학원도 많아요~ 단지 내 산책로도 좋구요.
대단지라 관리비도 적게 나오고 주차도 오래된 아파트 치고 양호합니다. 얼마 전에 엘베 수리도 다 했구요. 
단점은 오래되었다는 거지요 하지만 그건 분당의 장점을 누리려면 어쩔수 없는 부분이라 감수합니다."
45,모든게.갖춰진 곳입니다. 실거주에 최고입니다.
46,초등학교가 옆에 있어 아기키우기 좋아요
47,"이사 생각중인데요 혹시 전기차 충전기 한대도 없는건가요?
설치 논의같은건 오가고 있나요"
48,20년 넘게 살았는데 매우 만족했습니다.
49,"역시 정자동 최고의 인프라 랄까요?
다른곳으로 가려고 알아보다가, 병원 학원 지하철 은행 등등 없는게 없어서 다시 눌러앉았습니다"
50,32평 남향 (역에서 가장 먼 동) 16.95억 어제 거래되었다는군요. 실거래가 반영 기다려집니다.
51,"단지 내 산책로도 좋지만, 주변 산책로도 참 좋다."
52,혹시 26평 라인 후문쪽에는 편의점이나 마트 들어올 계획이 없을까요? ㅜㅜ 정동마트가 생각보다 머네요
53,"26평 거주하시는분들께 요청드립니다.
세탁기와 건조기 세로로 설치 가능할까요?
제품은 삼성 그랑데 설치하려고하며, 설치 가능 공간은 가로 70cm / 세로 1m 입니다.
가로는 될꺼 같은데요,

세탁기 자리 깊이가 가스계량기부터해서 1미터가 될까요?
아니면 가스계량기를 철거하거나 옮기면 1미터 될까요?
거주하시는분의 도움 부탁드립니다.
감사합니다."
54,26평 15.45억 거래 소식이 있네요.
55,오래된 단지인데도 주차난이 심하지 않아요. 살기 좋습니다.
56,"교통, 학군 뭐 하나 빠질 것 없고 조용하고 좋아요"
57,"안녕하세요 26평형 12월 입주예정입니다. 
인테리어 여쭙고자 이렇게 글을 써요~!
예산때문에 주방확장을 안할 예정인데, 냉장고 자리가 마땅하지않은것같아서요. 
1. 혹시 베란다에 냉장고 두고 쓰시는분 있을까요? 
고민중인 위치로 사진 올립니다.
(어차피 워시타워올릴거라 원래 세탁기자리는 불가능할것같아 그냥 죽은공간치려고합니다..)
2. ES인테리어에서 해보신분 계실까요..어떤가요"
58,"26평 2호라인과 3호라인은 발코니 창고 벽면이 서로 붙어있는데, 여기 화재시 뚫고 건너갈 수 있는 나무벽(?)인가요?
아니면 콘크리트로 되어있나요?"
59,"여기 리모나재건축 진행사항은 어떨까요?
혹시 진행된바있딘면 22,23평 투자시 몇평으로 바뀔까요?"
60,"지하철 버스 모두타기 수월하고
정동마트 신선품도싸구좋아요

필립발리스포츠센터 사우나수영골프필라테스
자주이용하기편해요~
반찬가게들도 맛나요~"
61,"엘레베이터 교체공사로 엘레베이터가 넓고 에어컨나오는 완전 새거입니다. 
1분거리 병원 은행 상가 스벅 완벽 구비입니다. 
정자역 카페거리까지 걸어서 다닐 수 있다는점이 좋네요."
62,"1995년 처음 입주때 부터 시작해서 현재까지 살고 있습니다.
분당 정자동 대장주 아파트로 분당에서는 워낙 유명한 아파트입니다. 다른 아파트에서 살아본 경험이 없어서 비교를 할수는 없는점 감안해 주세요.
교통은 신분당선, 분당선 2개역을 끼고 있고, 버스노선도 서울, 경기 직행버스가 많아서 강남까지는 30분이면 너끈히 도착하고, 서울도심까지도 1시간내로 도착가능합니다.
교육환경은 신기초, 정자중이 단지내에 있고, 한솔고도 도보로 5분거리라 학교다니기에는 이 이상 편할수는 없죠.
저희 아이들 모두 이 학교를 졸업했거나 다니고 있어요.
학원가도 탄천 넘어에 밀집해 있고, 대형 스포츠센터, 마트등이 모두 단지내에 있거나 인접해 있어요.
무엇보다도 바로 단지 옆에 탄천을 끼고 있어서 반려동물과산책, 가벼운 운동등을 하기에 좋습니다.
25년살면서 이 정도 인프라와 주거 쾌적성을 가진곳이 얼마나 될까 싶기도 합니다.
단지 지어진지 20년 중반을 훌쩍 넘어가고 있어서 전반적으로 노후가 되어있다는 점이 단점이겠지요."
63,"7년 넘게 살면서 아파트 가장 외진 곳이 흡연 장소로 쓰이는 걸 봤는데 어느날부터 쓰레기통을 치우더니 이런 멋진 문구가 부착되었네요. 

몇몇 사람의 요청만으로 바로 흡연금지로 만들고 순식간에 금연 아파트로 변신하는 걸 보니까 참 살기 좋은 곳이라는 걸 확인했네요. 

입주자 공청회나 설명회같은 절차 없이 결정된 걸 보니까 대의민주주의에 따라 입주자 대표회에서 결정한 사항일 수도 있겠네요. 쾌적한 아파트를 만들기 위한 노력에 다시 한번 박수 보냅니다."
64,"주차는 어떤가요? 많이 부족한가요?
이중주차하나요?"
65,일단 위치는 넘사벽. 전세로 살고 있지만 위치 시설모두 최고다. 지금이야 너무 비싸지고..그래서 이사를 생각하고 있지만언젠가는 꼭 돌아올꺼야
66,"느티마을 이주 시기에 신기초 정자중 많이 뒤숭숭할까요? 이사 생각하는데 반 아이들이 많이 빠져나가면 학습분위기가 안 좋아질까 걱정이 되네요  지금도 수내동 대비 인원이 적은 편이던데요 

느티마을 한솔5단지 이주가 상록우성 학군에 어떤 영향을 줄런지요  앞으로 당연히 좋아지겠지만 저희 아이들은 앞으로 4~6년 뒤면 성인이되니지라... 이사후 학교 친구 관계도 걱정이 됩니다"
67,"방 베란다 내력벽 철거한 집이 보이는것 같은데 
이런건 어디에 신고해야하나요?"
68,조용하고 녹지있고 살기 너무 좋은 곳
69,역이랑도 가깝고 조용하고 너무 좋습니다
70,"유년을보낸 아파트인데, 다시 입성하고싶습니다. 교통,인프라,학군 빠지는것이없죠!"
71,"26평에 이사가면서 인테리어 알아보고 있습니다.
살고 계신분들께 2가지 질문있습니다.

1. 발코니 확장하려고 하는데요, 실내 샷시 양옆에 내력벽인가요? 아니면 적조벽인가요?
즉, 실내벽 모두 철거하여 확장 가능한가요?

2. 주방쪽 발코니(뒷베란다) 세탁기 놓는자리 가로,세로 길이 알 수 있을까요?
세탁기랑 건조기 세트로 위로 올려서 사용하려고 합니다.
제가 구매할 제품이 들어갈지 궁금해서요.

거주하고 계신분들의 답변 기다리겠습니다.
감사합니다."
72,"리모델링을 해야해서요 우성상가  단지내에 있는
감각디자인 어떤가요?"
73,"세월이 만든 단지내 조경 + 산책로
따로 공원 안가도 되죠~"
74,"가운데 길이 여름에 우거진 숲 느낌이라 좋습니다. 
다만 그 보행자 전용 도로 사이로 하루 종일 수시로 배달 오토바이(무조건 금지 구역입니다만)와 온갖 킥보드 킥라니들이 종횡무진 달리고 있어서 어린 아이나 노약자에게는 위협이 된 순간을 여러번 봤습니다. 

당연히 경찰 단속이 불가능하다면 무언가 통행을 제지할 수 있는 대형 화분이라던지 이동식 조형물같은 게 있지 않는 한 보행 약자들에게는 위험할 수도 있는 곳입니다."
75,산책로
76,신분당선과 광역버스 잘 되어있어서 서울 강남 종로 출퇴근하기 편하고 유치원 초중 모두 가까워서 애들 키우기 넘 좋습니다!
77,"신분당선과 분당선 더블역세권
탄천 접근성도 매우 높고 아파트 관리도 잘되고 있어 만족도가 높습니다:)"
78,"오래되어 낡긴했지만, 입지나 접근성을 생각하면 분당인근에 이만한 곳은 없죠."
79,혹시… 엘베 교체완료된 동 계시면 사진 올려주실수있나용?? 궁금해서요!!
80,정자역 주변을 한눈에 볼 수 있는 사진입니다^^
81,"새로 싹 고치니 내부는 신축 안 부럽네요 ㅎㅎ
주차장이 연결 안되어있는게 아쉬운 것 빼고는 사는데 너무 좋아요
탑층인데 단열 잘했더니 여름에 더운 줄 몰랐고 층간소음 없이 절간 같습니다 ㅎㅎ

단지 장점: 지하철역 가까움, 분리수거 매일 가능, 엘베 새로 바꿈, 녹음 많음, 탄천 산책 가능, 초품아 중품아, 광역버스 많음, 단지 조용함

단지 단점: (인테리어 새로 한다는 가정 하에) 주차장 연결 안됨, 늦은 밤에 오면 주차 자리 부족할 수 있음, 주변에 편의점 없음ㅠㅠ(후문 근처면 진짜 멀어요..)"
82,"살기 좋은데 여름에 매미 송충이 벌레가 많아요
여름에 특히 주방 하수구에서 냄새가 올라옵니다
방음 잘 돼요!"
83,"신고가 행진이네요.
정부가 세금 뜯어가려고 작정해서... 걱정입니다"
84,"이곳에서 유치원, 초등,중등,고등 마치고 대학까지,단지내 학교 모두 도보로 가능 하여 안전하게 등하교하고 주변 환경도 너무 좋아서 너무 감사한마음이죠.정자동 학원가도 넘 좋구요. 대치동은 필요시 선택해서 다니기도 편하구요.맞벌이라 정자역 신분당선 있어 서울 출퇴근하기도 편하고,떠나고 싶지않은 곳이죠~^^"
85,"깨끗하고 정돈 아늑한 느낌의 동네로
실거주에 강추 입니다."
86,정자역에서 너무 가깝고 주변환경도 너무 좋아요!
87,"교통, 환경, 미래가치 어떤것 하나 빠지는것없는 곳!아직 저평가입니다"
88,"26평 현재 거주중인데요
간단한 인테리어는 완료해서 살고 있지만,
배란다 확장 공사(현재 확장은 아무것도 안했습니다) + 추가적으로 공사를 통해 화장실 1개(기존 화장실 유) 까지 만들 수가 있을까요?

혹시 이런 인테리어를 하신 거주자분도 계실까요!"
89,정자역과 가까워서 좋아요 단지도 조용합니다
90,교통 좋고 주변 상권도 괜찮고 살기좋음
91,"구축이라 평수에 상관 없이 부엌이 좁기는 합니다만, 고치고 살면 괜찮습니다. 제가 너무 늙기 전에 신축으로 변모했으면 합니다.

좋은 점 : 단지 내 삼림이 울창합니다. 공기의 질 (서울 강남에 비교), 엠코헤리츠 상가 (점점 힙 해지는중) & 정자동 카페거리 접근성, 탄천 접근성, 옛아파트라서 정겨움, 대중교통 이용, 주변 동네 인프라 자차 이동 용이 (판교 현백, 죽전 신세계, 성복 롯데몰, 광교 호수공원, 백운호수, 과천 인프라), KT가 근처에 있어 꾸준히 유지되는 동네 상권, 주택가 맛집 (효X식X, 감자탕, 닭갈비, 수제버거, 냉면, 치킨집, 고깃집)

불편한 부분: 주차장 연결, 주차간격, 지하주차장 공간, 가끔 하수구 냄새, 흡연 구역, 외부 자전거 보관, 매미 소리, 잦은 이사 차량 방문, 실외기를 베란다 내부에 놓아야함. 층간 소음, 낮은 실내 층고, 구식 놀이터 (모래), 단지내 커뮤니티 부재 (but 단지 바로 옆 사설 스포츠센터 이용 가능), 단지내 오르막 길 (but, 건강에 좋음), 신축 가끔 부러움."
92,"대단지로 정자역 가깝고, 정문과 후문(정자역)쪽에 버스 노선 많습니다.
단지내 초등, 중등 있으며 길건너 바로 고등 있습니다.
90년대에 지어진 오래된 아파트이지만 관리 잘되어 있습니다.
인근에 학원, 병원등 모두 가까이 있어 살기 편합니다."
93,"단지 조용하고 초,중학교가 단지내에 있어  아이들의 안전한 통학로가 보장되어 있습니다.
대중교통도 지하철,버스 다 편리하구요
다만 지은지가 오래되어 입주 시 리모델링은 선택이 아닌 필수이며 다행인건 배관, 외벽 페인트, 엘리베이터 순으로 공사가 이루어졌습니다.
전반적으로 입지가 좋고 조용한 단지입니다."
94,"단지가 크고 정자역과 가까워 교통편리, 탄천 및 초중학교 밀접하여 애들키우기 좋음"
95,30년 가까이 살고있지만 다른곳으로 가기싫을정도의 편한 주거환경입니다. 평생을 여기 살고싶어요
96,제 투자포폴 중 최고의 선택이네여 매수한지 얼마 안되어 엄청 올랐어여 전세살며 전세돌리는중인데 언제 들어갈 수 있을런지~~^^ 그간 구축은 세만 돌리고 준신축만 살아와서 살짝 걱정되긴 해여 사시는 분들 어떤지 궁금하네여~ 애기 고학년되면 들어갈까 하는데 학원 등은 잘 되어있나여?
97,"22평 혹시 세탁기건조기세트(세로로놓는것)
들어가나요?"
98,20년 가까이 살았지만 교통도 좋고 좋은 단지입니다!
99,"단지 내에 초,중학교 있고 유치원도 있어요.
여름에 시원해서 에어컨 잘 안 틀어요"
100,"탄천이  단지 앞에 있어 걷기 좋고, 단지안에는 푸른숲길이 있어서 언제든지 산책하기 좋다.  아파트가 오래되어 층간소음 걱정을 했는데 이웃을 잘만난것인지 오히려 너무 조용하다.  정동마트와 홈플러스 자연드림이 도보 5~7분 거리에 있고 이마트는 차량으로 5분이내여서 편리하다. 남향에다가 동간거리가 넓어서 밝고 환기가 잘 된다. 얼마전에는 에레베이터 교체공사가 끝났다. 단점은 지하주차장에서 집으로 바로 연결되지 않는다는 것."
101,6학년 초에 전학가게되면 정자중학교 배정은 어려울까요?  그다음은 어디로 많이 가는지 궁금합니다.
102,조용하고 깨끗하고 구축인 점만 빼면 단점 없어요
103,위치가 매우 좋고 조용합니다. 엘레베이터도 교체하고 저희집은 리모델링을 안해서 옛날집 느낌이 있지만 리모델링 하게되면 단점이 없습니다.
104,아파트앞 탄천에서 캠핑도 하네요..^^
105,동네도 조용하고 아파트도 좋아요~~!!!
106,"장점 : 정자역 가까움, 똘똘한한채, 초등학교 중학교있음 
단점 : 언덕이 심한편, 주차공간협소, 작은평형 동에는 경비원 미배치되어 조경관리 및 청소 등이 상대적으로 소홀한느낌,"
107,"역이 가까워서 너무 좋고
정자동 까페거리, 관공서 은행, 탄천 모두 도보권에 있어서
매우 편리합니다"
108,"[정자동 상록마을 우성아파트 솔직 후기]

✔ 거주 기간: 1994년도~2021년
✔ 거주 단지: 우성아파트 306동 8층에 약 7~8년 거주 / 우성아파트 319동에 약 20년째 거주중

우성아파트는 제가 분당에 이사와서 34년 평생 중 약 8년을 제외한 나머지를 살아온 곳입니다. 물론 지금은 구축이지만 구축치고 정말 상태가 좋습니다. 물론 수리를 한번도 안 하고 산 집의 상태는 더러 최악인 곳도 있습니다. 그럼 지금부터 제가 살고있는 집의 장단점을 나열해보겠습니다.

<장점>
1. 319동은 정남향입니다. 환기와 채광이 엄청 우수하고 집에 곰팡이 핀 곳이 한 군데도 없습니다. 물론 이건 주인 성향상 청소와 환기를 잘 시켜줘야 가능한 부분이기 떄문에 집by집 입니다.

2. 주차 공간이 넓습니다. 우성아파트 단지 내 다른 동은 주차대란인 곳도 있지만 319동은 주차난이 전혀 없습니다. 지하주차장을 319동 혼자 쓰기 때문에 공간이 늘 여유롭습니다. (이중 주차 X)

3. 역이 가깝습니다. 정자역 분당선과 신분당선 모두 3-400m 정도밖에 안 떨어져있어서 역까지 도보 6~7분입니다. 물론 분당을 지나는 모든 버스가 정자역을 거의 거치기 때문에 버스정류장과도 가깝습니다. 집에서 길을 나서서 한남동까지 약 30분이면 갑니다.

4. 층간 소음이 적습니다. (이건 저희집 한정일 수 있습니다.) 319동은 평수가 넓은 동입니다. 그래서 신혼부부보다는 노부부가 많이 거주하고 있습니다. 그래서 가끔 주말에 손자들이 놀러왔을 때를 제외하곤 층간 소음이 거의 없습니다.

5. 탄천이 가깝고 주변에 공원길이 있습니다. 319동 오른쪽에는 탄천이, 왼쪽에는 공원길이 있습니다. 무엇보다 주변 소음이 적고 엄청 조용합니다. 날씨가 좋을 때는 탄천 잔디밭에 나가 돗자리를 깔고 음악을 들으며 맥주를 한 잔 마시는 재미도 쏠쏠합니다. 저녁을 먹고 배가 부르면 공원길에 나가 20분 정도 걷다보면 ""정자동이 정말 좋은 곳이구나""를 깨닫게 됩니다.

<단점>
1. 단지 내 쓰레기 처리장이 노후합니다. 요즘은 그다지 좋은 아파트가 아닌 곳도 쓰레기 처리장은 깔끔합니다. 그런데 우성아파트 319동 단지 앞에 있는 쓰레기 처리장은 솔직히 너무 노후화되었습니다. 음식물 쓰레기통도 요즘에는 발로 밟아서 여는 곳이 많은데 여기는 아직도 더러운 통을 손으로 만져야 합니다.

2. 엘레베이터가 너무 작습니다. 그런데 현재 우성아파트 단지 전체 승강기 교체 작업이 이루어지고 있습니다. (한달동안 계단을 이용하는 수모를 겪고 있습니다 ㅠㅠ) 6월 10일부터는 지금보다는 더 커진 엘레베이터를 사용할 수 있다고 하니 이건 좀 더 지켜봐야겠습니다.

3. 천장이나 화장실의 단차(?)가 맞지 않는 부분이 있습니다. 1년 전에 저희 집을 올수리했는데 천장에 석고판(?)이 너무 낡아서 도배를 깔끔하게 하려면 큰돈을 들여 석고판을 갈아야 한다고 했습니다. 이런 부분은 아파트의 노후화로 일어나는 현상이므로 아파트 자체의 리모델링이 필요한 부분이라고 생각됩니다. 화장실도 마찬가지로 타일을 깔려면 바닥이 평평해야 하는데, 구축이기 때문에 완전 100% 평평하지가 않습니다. 이런 부분에서 구축의 단점이 조금 보입니다.

------------------------------------------

???? 2n년을 거주한 사람의 솔직한 후기입니다. 우성아파트 319동은 제가 20년을 거주하면서 단점을 거의 느끼지 못했던 최고의 아파트입니다. 이제 저는 독립을 하게 돼서 다른 곳으로 이사를 가야하기에 너무 섭섭합니다. 그만큼 좋은 곳입니다. 정자동 구축 아파트 중에 우성아파트 319동만큼 좋은 동은 없을 것 같다는 생각이 듭니다.

???? 319동 올수리한 아파트 반전세(월세)를 생각하고 계신 분은 아래 연락처로 연락 부탁 드립니다! (정자공인중개사  ***-****-**** )"
109,"동 현관 비밀번호를 택배 기사님들에게는 공유하고 
주민들은 카드키를 사용하게 하는 것인지 이해가 안되요."
110,아파트앞 놀이터에 오랜만에 아이들이 많아 활기차 보여서  좋네요~
111,"탑층(15층)은 발코니 천장이 좀 높아보이는데요, 발코니확장하면서 이곳에 시스템에어컨 설치 가능할까요?
혹시 시스템에어컨 설치하신분 있나요?
또한 안방이나 작은방들에도 시스템에어컨 설치가 가능할까요?"
112,역도 가깝고 아이들 학원다니기 좋아요~
113,관리비명세서에 대표회의 운영비 명목으로 금액이 찍혀있던데 왜 이리 많은 비용을 쓰는걸까요? 무슨 회의를 얼마나 하길래 세내수도 많은 아파드에서... 입주민들의 돈이 투명하게 사용되는지 궁금하네요
114,"혹시 상록우성 오픈채팅방은 없나요?? 
다른단지들은 있는데 상록우성은 찾아봐도 안나오네요 ㅠ"
115,"분당선/신분당선 역세권, 강남/광화문 광역버스 등 서울 접근성이 매우 좋고, 근처 탄천 산책로 등 여유를 즐기기 좋은 조건이에요."
116,날씨 좋은 봄날..
117,대형평수 저평가 구간인거같네요 27평 14억 6천 거래됐는데 47평 호가 18억이라니.....
118,이천구년...그리고 맘 졸이던 이천십이년...왠지 그때 느낌이..이천십삼년부터 이천십오년이 최악이었던...지금이 최상인듯
119,"장점은 많이 나와있으니
단점을 적어보면

하수구 냄새가 많이 올라옵니다
아무래도 오래되서 그런지 배수쪽을 새로 바꾸지 않으면 냄새가 많이 나더군요"
