,리뷰
120,"신축만 살아서 좀 겁이 났었는데 막상 인테리어 싸악 하고 들어오니 만족도는 높습니다.  학원 최고 수준으로 밀집되어 있고, 맛집 정말 많고, 초 중학교가 단지에 있어서 정말 안심됩다만  무엇보다도 정자역에서 제일 가깝고 탄천이 집앞이라는 점은 정말  큰 장점이 아닌가 합니다. 그리고 넓은 평수라 그런지 주차는 밤 12시여도 문제는 없네요. (작은 평수 쪽은 좀 비지하다고 듣긴 했습니다.) 그리고 주민들이 뭔가 안정감이 있어요 아둥바둥 살지 않는 느낌(?) 근데 이건 좀 더 살아봐여 확실해질것 같습니다. 단점은 확장시 내력벽 때문에 디자인 고민을 많이 해야한다는 점, 지하주차장 연결이 안된 점, 구축이라 외벽은 좀 올드해 보이는 점 등이 있을 것 같아요."
121,"살기 너무 좋음
층간 소음도 잘 못느끼고 
집도 남향이라 채광이 엄청 좋음"
122,밤에 탄천 ..
123,승강기 교체공사 시작!
124,여기 왜 갑자기 3억이나 올랐나요??
125,"단지가 크고 관리가 비교적 잘되고 있음
주차는 보통 매일 분리수거 가능해 편해요"
126,"정말 살기 좋은 동네! 초등학교, 중학교, 고등학교 모두 가까워서 아이들 키우기도 좋아요"
127,"신분당선 가깝고 스타벅스 버거킹 같은것들도 가깝고.
신혼부부들도 살기 매우 좋네요!"
128,좋은 동네입니다  단지가 조금 오래되서 리모델링만 된다면 정말 좋은 아파트라 생각합니다
129,구축이지만 투자와 실거주 만족합니다.
130,대중교통 이용 편리하고 단지내 안정된 느낌이 좋아요
131,"강남에서 이사온지 1년정도 되었어요. 
직장이 강남역인데 정자역까지 걸어서 7-8분정도 걸려서 다니기 편리합니다. 집앞이 바로 탄천이라 조깅하기 아주 좋고요, 무엇보다 공기가 좋아서 숨쉬기가 편해요. 
지금까지 볼때는 주민분들도 모두 젠틀하세요. 
탄천 건너나 kt쪽 먹을거리도 많고, 카페거리도 걸어다닐 수 있어 좋아요. 단지안에 큰 슈퍼인 정동마트가 있어요. 이마트나 한살림도 가깝고, 코스트코는 공세점까지 30분 정도 소요됩니다. 
재활용 분리수거도 항시 가능해서 편리해요. 
올수리하고 들어와서 구축임에도 생각보다 불편한점이 별로 없어요. 단점이라면 가끔 층간소음, 지하주차장 연결이 안되어있는점 정도. 늦은 밤 아니면 주차 어려움도 없어요. 
올해 엘레베이터 교체도 예정되어있어 기대하고 있어요. 
내년되어 신사역 연장되면 더 살기 좋아질것 같아요."
132,탄천이 가까워서 코로나로 지친 마음을 산책다니며 힐링할 수 있어 좋습니다
133,"좀 오래되서 리모델링이 필요하다는것외에 단점은 없는것같다
역가깝고 마트 많고
큰길가 동인데도 차소리가 거의 안들린다
아이들 다니기 좋고
난방잘되고
추천추천"
134,"기본집이라서 그런지 엄청추움
침실에서 입김이 나올정도였음
3층이라 쥐들이 세탁기배수구로 집으로 들어와서 깜짝놀람
아이때문에 거의 빈집이었지만 관리비가 따박따박 20만원씩 나옴 정작역이랑 가까운거빼면 좋은기억이 없음"
135,"입지가 너무 좋은 곳입니다. 지은지 오래 됐어도, 크게 불편함 없이 잘 지내고 있어요. 정자역 가깝고, 주변 인프라 또한 정말 좋습니다."
136,교통좋고 학군 경기도내 최상위급 단지도 조용조용한게 푸근해요 사람살기 좋은 단지예요
137,"교통, 학군 그리고 주변 상권이 훌륭함"
138,탄천이 바로 앞에 있어서 산책하기 좋고 교통편도 편하며 근처에 왠만한 것들이 있어 좋습니다
139,"살기 너무 좋아요

분당, 판교 근무하시는분들 많고,
수원 삼성전자, 강남권 직장인도 많아요

영어 유치원 부터 초중고 학원 모든 학원이 가까이 있어요
초품아, 중품아로 아이 키우기도 좋아요

신분당선 연장 개통 기대되고요

전체 인테리어하고 들어가면
요즘 신축보다 훨씬 고급스러워요

나중에 재건축 되면 더 좋을 것 같아요"
140,조용하고 탄천가깝고 교통 좋고 살수록 정이 가는 동네
141,"지하철 가깝고, 주변 편의시설도 훌륭함.
공원과 같이 잘 꾸며져 있지만, 오래된 아파트라 늦은시간 주차공간이 부족할경우가 많고, 육상주차시 새똥테러를 많이 당함."
142,우리 아파트값 왤케 오르는거에요? 호가일 수 있겠지만 26평 매매가 보고 완전 놀랐어요
143,"지금도 살고 있지만 탄천도 가깝고, 지하철 역 및 버스 정류장과도 가깝고, 단지 내라 조용하기도 하고 여러모로 좋은 집"
144,아파트 가는길..
145,눈많이 온 날..
146,26평 신고가 얘기가 있던데 실거래 빨리 떴으면 하네요
147,혹시 남향 탑층 살아보신 분 계신가요? 여름/겨울 괜찮은가요?
148,재건축 충분히 가능하겠네요
149,"근 20년을 살았는데 아파트가 오래된거 빼고는 너무너무 좋아요
위치.교통 최고 
주변에 왠만한 것들은 진짜 다 코앞에 있어요!! 
학군도 좋아요"
150,"좋은점 : 위치가 좋음. 정자역, 탄천 가까움. 학교, 학원, 대형 마트 등 인프라 좋음. 

안좋은점 : 층간소음..
화장실 소음과 바닥 진동 소음에 취약. 아이 있으면 매트 필수.. 층간소음은 분당 구축들 다 비슷할걸로 생각됨. 이웃 잘만나는게 복인듯."
151,미래 가치를 보고 눈여겨 보고 있습니다^^
152,리모나 재건축 둘 다 진행 안하나요?
153,"살아보니 정말 살기 좋은 아파트
내년에 신규 아파트로 이사만 아니면 계속 살고 싶네요"
154,"단지내 나무가 많고 대형 평수는 주차가 넉넉해서 좋아요. 학원, 정자역이 가깝고 초품아 중품아라 살기 참 좋은 것 같습니다.  별도 장비가 있어서 수압은 고층도 문제 없고, 엘베도 곧 모두 교체 예정이에요. 다만 구축이라 들어 갈때 인테리어는 필수입니다."
155,"인프라풍부하고 대중교통 편리하다
학군좋고 대치동과 거의 비슷한 수준의 학원가 형성됨
먹을거 많다
판교현백 수내롯데 서현ak 죽전신세계 이마트 등 편의시설 매우 좋음
내가 나중에 결혼해서도 애는 분당에서 키우고 싶을 정도(현 20대중반)
강남은 애도 나도 힘들 것같기두....돈도 너무많이들고
암튼 ㅊㅊ"
156,단지 조성이 잘 되어 있고 편의시설이 다 가까워요
157,가운데 산책길이 참좋아요. 주변에 어린이집도 꽤 많습니다.
158,"역이 도보로도 가까워서 좋고 주차공간도 분당 다른 아파트 단지에 비해 여유있게 느껴져요. 
살기 좋습니다."
159,"교통편리하고 주변환경 양호합니다
층강소음 심합니다"
160,실거주 2년이상했는데 좋습니다 천당및의분당
161,"탑층 엘리베이터 소음 심하고
층간소음 심합니다
교통 편리성과
주변환경는 좋아요"
162,"탄천앞이여서 산책하기도 좋고, 무엇보다 신분당선 분당선이 있어서 교통이 정말 좋습니다"
163,나무 많고 동 간격 넓어서 쾌적하고 좋아요 밤늦게까지 주차자리 항상 있어요~
164,16년째 거주하고 있어요. 교통 편리하고 환경 좋고 정이 들어서인지 거주지 최고예요~
165,조용하고 상권이 잘 형성되어있어 편리합니다
166,"입지 좋고 더블 역세권에 후문 나가면 바로 탄천 있고.. 봄에는 벚꽃 가을에는 단풍이 너무 이뻐요~
관리가 너무 잘 되는 단지라 정말 살기 좋아요. ^^"
167,"상록이란 말처럼 단지내 큰 나무들이 많아 숲에 있는 느낌이고, 지하철, 광역버스 등 대중교통 이용하기도 매우 좋습니다."
168,"관리가 잘 되어 있어요. 초등학교 중학교 다 가깝고, 대형퍙수ㄴ 주차도 괜찮아요"
169,정자역까지 걸어가기 편하고 학교도 가까워서 살기 좋았어요
170,"실거주하기 너무 좋은 단지에요. 분당 전체가 다 좋은 것도 있지만, 그 중에서도 정자동 대장단지라는 자부심이 있네요! 계속계속 갖고 있다가 1:1 재건축하면 제일 좋겠어요~"
171,"모든것이 갖춰져있어 살면서 감사함을 느끼게 되는단지..
뭐하나 부족한게 없네요
너무 올라가서 대형평형으로 갈아타기 갈수록 힘들어지는것이 단점이라면 단점입니다"
172,"상록우성 살고 있는데 살가는 좋습니다
그런데 학군은 아직 잘 모르겠어요 정자동쪽이 학원가인데 거기까지 사실 잘 보내지지 않네요
단지는 너무 이쁜데 주차는 어려운 동 들이 많습니다
참고하세요~"
173,전국 학군 순위 정자동 6위입니다
174,"안전에 관한 안내 방송은 정말 꽝인 것 같아요.
올해 2월에 이사와서 화재 경보가 잘못 눌린 게 3, 4번쯤 되는 것 같은데 잘못 눌린거다 어쩐거다 방송을 해준적이 없어요. 지금도 좀전에 울렸는데 아직까지 방송이 없어요. 진짜 화재나면 어쩔라고 이러는지 모르겠어요."
175,단지 관리 잘되고 지하철역 가깝고 광역버스 정류장 가깝고 도보에 정동마트 이마트 홈플익스플러스 롯데슈퍼 있고 탄천에 분당도서관에 정말 생활하기 좋은 곳
176,안녕하세요! 혹시 21평형 베란다에 세탁기 건조기 동시에 놓을 공간이 나오나요?
177,"초중품아 (신기초,정자중)
걸어갈수 있는 학원가 (대치가 본점인 체계적인 대형학원 및 영어전문학원)
교통 (신분당선,22년 초 신논현 연장)
환경 (탄천)
일자리

모든것을 갖춘곳..."
178,오래된 것 빼면 나머지는 모두 만족스럽습니다
179,"마트, 편의시설, 병의원, 약국....
다 코 앞에 있어요
제일 맘에 드는건 산책로랑 탄천이네요"
180,가운데 산책길 아주 좋아요.!!  어디 안가도 아이들과놀기 좋습니다.
181,305동 20평대 이사고민중인데 주차에 어려움이 많을까요?
182,312동으로 이사를 고민하고있는데 주차는 어떤가요?
183,단지에 가을이 왔네요
184,"장점 주차공간 
단점 층간소음 주방협소 안쪽나무창 지하주차장 출입구 멀다"
185,"앞으로도 오래 보유할 계획인데, 언젠가 리모델링 아니고, 제대로  재건축되면 좋겠어요. 지금도 단지내 유휴부지가 꽤 보이는데, 소소한 거주자 공유 공간으로 활용할 수 있으면 좋을 것 같아요. 정자동 아파트 단지들은 서로 벽을 세우지 않고, 멋진 산책로를 공유하는 것이 모두를 위해 너무 좋은 것 같아요. 앞으로 먼 미래에 재건축 시점에도 이렇게 연결된 공간의 가치를 지켰으면 좋겠어요."
186,"교통 편리하고 조용하고, 편의시설과 산책로도 있는 살기 좋은 곳"
187,장점이 많은 아파트 오래오래가지고 싶네요
188,"신혼 부터 아이 유년기를 보내기 최고에요
주변 상권 교육 교통 3박자가 잘 갖추어져 았어요"
189,"-정자역이 가깝다.
-탄천이 가깝다. 
-상록우성과 느티마을로 이어지는 길을 걸으면 마치 수목원에 온것같은 느낌이 든다. 
-아이가 있다면 최근에 재정비된 느티마을 어린이 공원을 이용하면 좋을듯!
-재활용 쓰레기와 일반쓰레기를 수시로 버릴 수 있어 좋다. 
-마트가 가깝다. (정x마트 , 홈x러스 익스프레스)


그러나 구축이다ㅠㅠ

신축에서만 살다 이사오니 적응하는데 시간이 필요했음"
190,"31평 관심있게 보고 있어요
그런데 31평은 다 동향인가봐요
동향집이 겨울에 춥고 여름에 덥고 곰팡이도 생긴다 이런 말이 있던데 어떤가요?
그리고 도로가 집은 시끄럽다던데 몇동을 피해야 할까요? 수도권 거주하는 사람이 아니라서 매일 임장할 수도 없고..여기밖에 믿을 데가 없네요^^
아시는 분 팁 좀 부탁드려요"
191,"주변 상권 좋고 학교도 가까움
아파트 노후화"
192,"일단 단지내 나무가 많아서 사계절내내 예쁘고요
분리수거를 요일관계없이 아무때나 할수있습니다
엘레베이터와 계단이 건물 양쪽에 있어서 출입이 편합니다
아파트 현관문 출입구가 카드키로 출입가능하기때문에 안심도 되구요
단지에 있는 상가건물에는 마트,세탁소,수선집,빵집,편의점 등 다양한 매장이 있어서 편리합니다.
관리비는 평균 18만원정도 나오고 주차공간은 적당한데 단지내 땅의 높낮이가 달라서 차로 이동시 시야확보가 어렵습니다. 윗층에서 뛰어다니면 소음이 잘들리는 편이고 가끔 다른집 진동도 들립니다. 건물이 오래되서 화장실이나 부엌이 리모델링 필수입니다. 
단지가 살짝 복잡해서 익숙해지는데 조금 걸립니다"
193,보름달
194,318동 저녁에 건너편 상가 불빛 불편하신가요?
195,"2년 넘게 살고 있는데
서울 가는 교통 너무 좋고
인프라도 완벽하고
동네 분위기도 좋아요

단지가 전체적으로 잘 관리되고
너무 만족합니다^^"
196,"22평 갈 예정인데, 전기차 충전 안되나요????  오래된 아파트도 다 있던데"
197,"신분당선 타고 판교 1정거장이어서 판교 출퇴근이 매우 편리합니다. 탄천도 집앞이어서 산책이나 운동하기 좋고, 집 근처 kt 앞, 정자역 근처 맛집과 편의시설 이용도 편리합니다. 정자동 학원가도 걸어다닐만 하구요. 교통, 자연, 편의시설, 학원가.. 뭣 하나 빠지지 않는 곳입니다."
198,"장점) 대중교통이 잘 되어있고 초중교를 품고 있다. 학원가가 가깝다.
산책로가 오래되어 나무터널을 이루고 있다. 
단점) 도로와 인접한 동은 시끄러움
        주차장이 부족함"
199,"이사온지 2년 정도 됐습니다. 서울 출퇴근도 편하고 초중품아라 차없는 길로 아이 학교도 보내기도 좋고 학원가 이용도 편리합니다.신분당선,분당선,각종 광역버스로 이동하기 너무 좋습니다. 단지 산책길, 주민분들의 여유 그리고 가까운 탄천까지 삶의 질도 이사와서 만족합니다. 주차공간도  대형평수 있는 곳은 주차 걱정은 없습니다.무엇보다 출퇴근길,주말 단지 주변 걷기만 해도 하루 피로가 사라지고 힐링됩니다.단지 관리도 잘 되네요."
200,"정자역이 가깝고 주변 상권이 잘 형성되어 좋아요. 탄천도 가까워 운동다니기 좋아요. 단점은 단 하나!주차공간이 부족해서 주차가 정말 어렵고, 지하주차장이 있으나 역시 자리 부족!겨울 출근아침 차에 눈쌓이면 치우기 힘들어요.."
201,"두말할 필요도 없는 최고의 아파트 입니다.
단지 관리 잘 되어있고, 교통 너무 편리하며
주변 대기업들도 많고 공원도 많고
호재도 너무 많아서 맘도 편해요.
주민들도 수준이 높으시고 다들 친절하시네요"
202,"역과 너무 가깝고 
뷰도 너무 좋습니다~ 
교육은 뭐 다들 아실거구요~ 
주차스트레스 없어서 참 좋아요 ㅎㅎ
단지내 산책로도 최고 요즘 날씨가 너무 좋네요    
최고 입지! 앞으로 계속 살려구요~"
203,"정자역 도보로 다니기 좋으며, 학군 우수"
204,신분당선 라인. 좋은학군지. 다만 아쉬운건 오래된 년식과 아직 기약없는 재건축. 소형대형섞여있어서 리모델링은 쉽지않음. 대신 기약없이 재건축 바라본만큼 단지관리는 굳. 다만 재건축바란 갭투자 보유가많음 자가보다는 전세위주의단지. 때문에 네이버 현재 30건매물 쌓여있는데 대부분 갭매물. 하지만 취득세부담때문에 1주택 무주택자밖에 갭은 매수수요없는 상황. 세입자들이 올라간전세가로인해 집안보여주니 갭매수가 더더욱 힘듦. 옆에 느티마을은 갭위주여도 리모델잉 최우선 위치에있는만큼 똘똘한한채 내지 보유세내고도 이득볼수있다는 시각으로 매물 잠김은 강함.
205,"여기 올해초였나 작년말이었나
26평 정남향 11억2천 달라길래 헉 했는데
아직 이네요. 탄천은 진짜 좋던데"
206,"상록우성은 정자역 초역세 대형단지로 현재도 주거환경, 교육, 교통 여러면에서 매우 우수합니다.
특히 신분당선은 계속 연장되는 계획인데 일단 2022년 신사역 연장되면 지금 강남역 2호선 외 신논현역에서 9호선, 논현역에서 7호선, 신사역에서 3호선과 접하게 되어 앞으로 더욱 기대가 됩니다."
207,"단지 내 횡단보도 건너지 않고 초중있고 최근 편의점이 생겨서 도로 건너지 않고 이용가능해짐. 산책로에 그늘이 좋아 여름에 강아지 산책 시키기에 최적화. 탄천 걸어서 5분내, 마트 걸어서 5분내로 편리함. 주택으로 이사가고 싶으나 사계절 잘 관리되는 탄천 잔디로 충분히 전원생활 누릴수 있음. 녹음 짙은 산책로도 굿. 조용한 시골로 이사가고 싶은데 여기가 너무 좋음"
208,32평이랑 46평의차이가 별로 안나네요 46평 너무 저평가된거 같네요
209,교통과 교육 모든 면에서 우수한 단지입니다.
210,여기 아파트에 경비원이 없어요. 관리가 그렇게 잘 되는 편은 아니고 아파트 지하에서 퀴퀴한 곰팡이+나프타렌 냄새 납니다.
211,6년간 거주하였습니다. 살기 너무 좋은 곳입니다. 교통도 훌룡하고 이웃들과의 마찰도 없었습니다. 주차공간은 아주 여유있는 편은아니나 주차에 특별한 어려움을 겪은적은 없습니다. 분리수거도 날짜에 구애받지않아 편리합니다. 단 노후화되어 층간소음은 좀 있으나 서로 이해하며 지내는 분위기 입니다
212,"정자역 도보 5분정도이고
주차공간이 조금 부족하긴하지만 엄청 불편한 정도는 아님. 

걸어서 10분 이내에 정동마트 또는 편의점이 있음

아파트 단지 자체가 조용하고 탄천과도 가까워서 산책하기도 좋음"
213,바쁠때는 마을버스 이용하고 날 좋고 시간 여유 있으면 걸어다니며 정자역에 갈 수 있는 거리입니다. 살기 너무 좋은 곳이라는 건 모두 다 아실듯^^
214,오래된 아파트 이지만 . 주위  편의 시설과 초록이 우거진 숲길이 너무 좋아요
215,"정자역 가까움, 동간격 넓음, 살짝 오래됨"
216,"장점 단지에 나무가 우거져서 초록초록함
단점 단지에 나무가 우거져서 저층은 해가 잘 안듦...."
217,우성은  전철이용도 좋고 조용하고 살기좋은 단지 인것같아요. 주변에 녹지도 아주 좋습니다
218,"아기 키우기 너무 좋아요~!
정자역도 가깝고 상권 이용도 너무 편해요"
219,"상록우성은 산책로가 정말 좋아요 ㅎ
근처에 마트와 병원도 가깝고 많아서 생활에도 편리하고요
버스노선도 많고 지하철도 가까우니 서울 출퇴근도 다른 동네에 비하면 수월한편이에요
집값이 비싸긴 하지만 다 이유가 있는듯 하네요 ㅎ"
220,일단 정자동내에서도 교통이점이나 위치가 정말 좋은듯합니다. 뭐 일단 매매가격이 말해주고 있죠. 하지만 오래된 아파트이니 만큼 내부 구성도가 옛날식이라 구조공사는 반드시 필요할듯 합니다.
221,정자동 인프라 및 개발호재를 한눈이 볼 수 있네요
222,"솔직히 오래되었다. 주차난. 낡았다 이런거 말고 깔게 없는 단지. 입지는 뭐 두말하면 입 아프고..
느티마을이랑 상록마을 사이에 공원길은 뭐 설명이 필요가 없는 숲속이고 돈만 있으면 하나 더 사고 싶다.
자식에게 증여해주고 싶은 아파트."
223,아파트앞 다리..
224,이게 진정 배산임수 아니겠습니까
225,"내년되면  폭락한다
다주택자들 물건나오면
폭락이다"
226,"정자역까지 생각보다 거리가 있지만 도보로 충분히 다닐만한 거리입니다. 한솔프라자, 마트가 있고 강남행 광역버스 정류장도 부근에 있습니다. 단지 내 조경이 잘 되어있어 계절마다 감상하는 재미도 있구요."
227,"20년부터 거주 중. 장점은 역세권이며 대단지로 저렴한 관리비에 조용한 주거환경이고 단점은 층간소음 취약, 아파트 노후화로 인한 수리 필요 등 그 외에는 정자동 대표 단지로서 우수한 수준임"
228,오래된 아파트. 정자역에 가까워 좋음. 학군은 중학교부터 별로.
229,"32평, 47평
화장실에서 노래하는소리는 들리는편..
위치는 최고입니다~ 웬만한 버스 다 있어요 (서울 등)."
230,살기 좋네요.교통도 좋고요 공기도...요
231,"정자역 인프라 바로 앞이라 이용하기 좋고
학교 찻길 안건너서 좋아요.
브런치하러 주말에 걸어나갈 수 있고
배달 모든 종목 다 됩니다."
232,탄천이 가까워 산책이나 운동하기도 좋고 주변 상가들도 가까워 살기 편한 곳입니다.
233,탄천이랑 가까워 운동겸 산책하기 좋고 지하철이 가까워 교통이 편리해요
234,"초역세권(정자역). 정남향. 초품아(희언유치원,신기초, 정자중, 길 건너 한솔고)
스포츠센터(발리, KT) 
이렇게 나열해보니 정말 엄지척이네요."
235,"괜히 정자동 대장이 아닌거같아요.
대중교통 너무 편리하고 주변에 상권도 너무 잘 갖춰져있어서 뭐 하나 불편한게 없습니다.
애는 아직 없지만 학군도 워낙 좋고, 학교도 단지내에 있어서 앞으로 20여년은 살아도 좋을것같아요."
236,"앞으로는 이쁜 탄천, 분당 내 핫한 정자 상권과 맛집들, 그리고 다양한 회사들에 이제 강남을 넘어 서울 주요 거점까지 이어질 신분당선과 주변의 리모델링 예정 단지들까지 점점 기대가 커지는 상록우성입니다. 구축임에도 아파트 외관도 단지내도 매우 깔끔하고 동간격이 넓어 쾌적합니다^^"
237,"분당 정자동에선 대장아파트 입니다. 주변에 마트, 공원 가깝고 살기 문안합니다. 가격이 많이 오른게 단점이죠ㅎ"
238,"위치좋고 살기는 참 편해요.
주변 만족도도 높고.. 분당내 대부분이 그렇듯 오래된 연식이 문제지요"
239,"교통, 생활, 환경 등 모든 점에서 완벽... 단점은 전반적인 단지 노후화 및 지하 주차장 엘리베이터 없음 정도."
240,"이사 오고 살아보니 다른데 못갈것 같아요 
병원, 학원, 학교, 유치원, 생필품, 맛집 등등 
도보로 해결 안되는게 없어서 차 끌 필요가 없어요
남대문까지 버스로 30분이면 가고 지하철로
강남역 15분 판교현대백화점 한정거장.. 
집 밖에 나오면 매일 숲에 온 것 같아요! 
탄천도 바로 앞이라 밤마다 운동하기도 좋고 정말 살기 
너무너무 좋아요^^"
241,"2년째 살고 있는데 교통.주변환경 참 좋습니다
정자동 대장주 답습니다"
242,신분당선역세권에 초중품아 탄천 느티와 이어지는 공원 서을대병원인프라 오래오래 넘살기좋은위치에요
243,동간 거리도 넓고 역세권에 주변 학교들도 가까워 아이키우기도 직장인도 살기 좋은 곳이예요
244,입지깡패네요 더블 역세권에 초품아에 직주근접에 주변 녹지공원까지....
245,"신분당선 더블역세권, 초중품아, 대기업 직주근접, 탄천 을 품은 완벽한 입지라고 하더라구요~"
246,교통 편리하고 아이들 학교다니기 좋아요
247,여기지금 살벌해요 평형대마다 신고가에요
248,"우선 장점은 단지내 조경이  너무 잘되어 있어서 숲속 같은 느낌..아이들과 산책하기 너무 좋아요. 놀이터도 많고 주차장도 넉넉해서 전혀 불편함이 없었어요.
단점은 오래된 아파트다보니 노후에서 오는 불편함이 대분분이었어요."
249,"학교, 탄천, 정자역 모두 근거리에 살기 좋습니다
단지 내 산책로도 좋고~"
250,이제 정자 대장아파트 같네요 무섭게 오르네요 올초 있던 매물은 다빠졌어요
251,"탄천, 정자역 오갈 때 오르막길이라 유모차 끌고 다니기 힘들어요. 아파트 안에 나무길은 참 좋아요. 그런데 아파트 계단 옆길이 많은데 유모차도 다닐 수 있으면 참 좋겠어요.. 한바퀴 돌아야 되서.. 욕심일까요..ㅎㅎ"
252,"위치, 교통 참 편하고 살기 좋습니다.
다만 아파트가 오래 되어 주차 공간이 부족한 편이고,
시설들이 노후 되어 불편한 점은 있습니다.
시설 노후인지 관리 미흡인지 경보장치 오작동으로 새벽에 잠을 깨는 경험도 종종 하게 됩니다. 어쩔 때는 두 번 울린 적도 있습니다."
253,신분당선 역세권이라는 점이 매우 편합니다. 정자역과 한솔고앞에 버스도 많습니다. 근처에 탄천도 있어 산책하기도 좋고 단지 조경도 잘 되어있는 편입니다.
254,"1. 집 바로 앞 탄천과 아파트를 가로지르는 산책길이 너무 좋습니다.
2. 신분당선, 분당선 지나가는 정자역으로 출퇴근 편리하구요. 광역버스도 많이 지나다닙니다.
3. 아이 키우는 입장에서 초등학교 중학교를 찻길 건너지 않고 다니게 할 수 있다는 점은 엄청난 매력입니다.
4. 단지내 규모 있는 마트를 비롯하여 탄천 건너편 상업시설의 수준이 매우 높은 편인 점도 마음에 듭니다.
5. 사소하지만 분리수거 공간도 나름 깔끔하게 마련되고 시간에 구애받지 않고 아무때나 할 수 있는 것도 좋더군요(매주 정해진 시간에만 가능한 단지도 많이 있더라구요)

다만 95년도에 준공된 구축의 한계는 있는 것 같습니다. 아파트 구조나 지상에 차가 다니는 점 등.. 아직 기대할 시점은 아니지만 향후 재건축 등을 통해 극복되었으면 하는 바람입니다.

생각나는대로 그간 살면서 느낀 점을 적어보았습니다만,
이제 거주한지 4년차 되어가는데 갈수록 정이 드는 동네입니다."
255,"단지내 숲길이 잘 조성되어 있고
초품아 중품아 입니다
단지 관리상태도 좋은편 입니다
주차공간도 여유있지는 않으나 부족하지도 않습니다"
256,여름에 산책로 걸으면 시원하고 좋습니다. 한여름에도 바닥에 열이 많이 안올라 강아지 산책에도 좋아요.
257,"상록우성으로 이사를 가려고 하는데 33평 312동 307동은 같은평수 다른동에 비해 1억정도 싸고 26평과 매매가가 비슷하네요.
312,307동이 길가에 있는것 같은데 소음이 심하고 먼지가 많이 들어오나요?
4식구인데 26평과 33평 307, 312동중 고민입니다."
258,"역, 탄천이 가까워서 좋고 산책로 좋고 사람들이 친절한 거 같아요. 다들 엘리베이터에서 항상 인사해주시고 ㅎㅎㅎ
단점은 엘리베이터가 너무 느리다는 점 ㅠㅠㅠ 급할때 답답해요"
259,"다른 아파트에 비해 주차가 상대적으로 편리하며 전철역도 가깝습니다.
단지내 저렴한 마트도 있어서 편리하네요...
아파트가 낡아 가는것은 어쩔 수 없지만 초품아 중품아에 애들 키우기는 좋습니다."
260,"관리비가 싼게 장점 
아파트가 오래되서 구조가 불편한 건 단점"
261,"이사온지 두달되어 가지만 주차장은 정말 별로네요.
오래된 아파트여서 그런지 폭도 작고.."
