,리뷰
395,"정자동 아파트 중에서 최고의 입지 및 주거환경이라고 생각해요 지하철 가깝고 단지가 커서 관리가 잘 되고 있고요
단지 자체는 오래되어서 내부 올수리하고 들어오실 것 권장합니다 특히 윗층에 샷시가 오래된 샷시이면 벽에 물이 세어들어서 천정에 곰팡이 생길 수 있어요 잘 보고 들어오세요"
396,아파트 간격이 넓고 나무가 우거져서 좋아요. 아직까지는 주차가 많이 어렵지는 않아요.
397,정자역도 도보가능하고 버스노선도 잘 되어 있어 편하게 지냈었습니다. 층간소음은 있지만 그건 오래된 아파트는 다 있는것같네요. 나무도 많고 조용해서 산기좋은 아파트였어요
398,오래된것 빼고는 살기 참 좋습니다.
399,"하수도 배관이나 난방 인, 아웃 배관 누수로 아랫집에 물 새거나 하는 집들이 많나요?

오래된 아파트라 배관들은 교체들 많이 하는지 궁금"
400,"좋은점 ;  분당선.신분당선. 트램까지 들어서면 트리플 역세권/ 광역버스/ 단지내 유치원2,초등,중등학교-횡단보도 건널 일이 없어 엄마들 교통지도봉사도안함/ 휴양림 수준의 조경 / 1700세대 이상 대단지 /  단지 앞 탄천수변공원.물놀이장 / 정자동 유명 학원가 / 근린생활시설단지와 가까워 마트.병원.은행. 외식. 카페 도보 10분안에 해결 / 판교현대백화점. 롯데백화점.Ak백화점 1~2정거장

단점 ; 구축이다. 주차장 연결 안돼 불편. 일부 동 주차난."
401,정자역 초역세권 아파트라 교통편리 살기 편해요
402,"지금은 리모델링에 대한 얘기가 없더라도 결국 90년대 지어진 분당아파트들은 재건축이나 리모델링으로 가닥을 잡을것입니다.
상록우성은 정자동 시세를 끌어가는 랜드마크 아파트이며 입지가 좋으므로 결국 시간의 문제인것입니다.
투자가치나 가성비로 따지자면 리모델링 진행중인 아파튼가 우세해보이나 그아파트들의 상승세를 업고 더 높은 가치를 인정받을 입지를 자랑합니다."
403,교통과 시설 생각했을때 정자역 최고라고 생각해요
404,"저는 정자동 상록 우성아파트 거주중인 입주민이에요
저희동네는 장점이 너무 넘쳐나는곳이라 무엇먼저 써야할지 모르겠네요~
일단,,교통,, 버스역과 지하철역 둘다 아파트에서 도보6분내 이동가능한 지역에 있구요
신분당선이용시 양재강남역 15~17분소요되구요
분당선이용시 압구정동 45분소요
광역버스이용시 강북상권50분내외소요되세요
버스이용시는 배차간격중요한데 10분내외간격이고 다양한 버스가 운행중이라 골라타실수도 있다는점 너무 장점이네요~
솔직히 목적지가 어디든 신분당선 분당선 광역버스를 이용하면 못갈곳이 없죠,,, 
자차이용시는 경부고속도로 내곡자동차전용도로 수서간도로접근성 용이/ 뿐 아니라 광명인천으로 향하는 고속도로접근도 용이해서 안양 광명 인천도"
405,20평대 동향 탄천뷰 좋아서 신혼 또는 3가족 이라면 추천합니다. 단지내 어린이집 평 좋은편이고 희언유치원. 신기초 끼고있고..탄천가까워 산책하기도 좋고..한솔살다 이사왔는데 주차 나쁘지 않습니다. 단지내 상가는 좀 아쉽네요ㅎㅎ(구성이나 시설면?). 도보로 한솔. 라이프쪽 상가 이용 불편하진 않습니다
406,"분당 대표 대장주 아파트로 관리 철저! 교통 & 편의시설 우수, 정자동 유치원 & 학원 이용 우수!"
407,"단지 관리가 잘되고 있고, 동네가 조용하다.
정자역뿐만아니라 서울로 가는 광역버스가 많아 교통이 편리하다. 카페거리를 걸어서 갈 수 있고, 탄천은 산책하기 좋다. 다시 가서 살고 싶다."
408,정문쪽은 스포츠센터와 마트가 있어 살기 편합니다. 다만 정자역이 조금 멀지만 내리막길이므로 걸어 가는게 어렵지는 않아요  약 10분정도 걸릴듯. 나중에 트램이 신기 사거리쪽으로 들어온다는점도 장점일 듯 해요. 다른 지역과 달리 정자역쪽은 상업/유흥지역이 주택지역과 탄천으로 나뉘어져 있어 구분이 되어 있는 점도 장점입니다.
409,"정자역 가깝고 분당 지나가는 빨간버스, 파란버스 다 단지 앞 지나갈 정도로 교통 편해요.
탄천도 가깝지만 단지 내 산책로도 잘 되어있어요.
확실히 어른들이 많이 사시는 것 같아요"
410,일단 주차공간이 너무 부족하고 엘레베이터가 정말 작아요   하지만 단지가 커서 장점이 많아요
411,지하철 정자역에서 도보로 다닐만 합니다. 집은 오래되었지만 주차도 부족하진 않은편이네요.
412,"305동은 정자역에서 생각보다는 멀어요. 걸어서 10분정도? 게다가 언덕이라서 여름엔 마을버스를 가끔 탑니다;; 
그래도 단지가 잘 정비가 되어있고 관리가 되어서 살기엔 좋은 것 같아요."
413,"26평형, 구조가 맘에 들었어요.
쓰임있고 상당히 넓습니다.
화장실 하나인건(옛날건물이라) 단점.
남향 동에 살았는데, 여름에 평균 2~3도는
낮지 않나..할 만큼 시원합니다.
아파트 위치도 좋고,
새 건물이면 나무랄데가 없을텐데요..."
414,26평 살고 있는데 지하철 가깝고 정자역 상권이용하기 좋고 탄천에 산책나가고... 위치가 너무 좋습니다. 주차 공간도 모자라지 않는거 같구요. 유일한 단점이 오래되었다는건데 이건 리모델링을 해도 실내는 좋지만 지하주차장 연결이나 이런 부분이 아쉽네요. 언젠가 재건축이든 리모델링이든 진행되기를 기대합니다~
415,"주차는 힘들지만 살기좋은 아파트, 분당아파트 연식은 어차피 다들 오래됐지만 동간간격넓고 단지내 나무도 많고 근처 탄천 산책 용이 대중교통편리함"
416,노후 아파트라기엔 관리가 너무 잘되있고 이단지를 떠나지 못하고 23년째 살고 있습니다 아이들 초중고 모두 도보 10분이내에 있으며 교통은 말할나위 없이 최고 단지입니다
417,"20년이 좀안되게 살은 사람인데 ,
지금은 자식들 사정때문에 다른곳에 살고 있지만,
모든 조건이 다 갖춰진 상록우성 흠잡을때라곤
년수가 좀있어서 아쉽지만 관리가 잘되어서 녹물이나오거나, 주차도 넓은평수는 공간이 남고,  다른동입주자도 사용이 가능합니다.
장점을 다 열거 할수가 없는 단지 지요?
항상그리운  곳이랍니다,
316동에 살았어요~~"
418,"단지가 오래되서 수목 많고 탄천 바로 옆이면서 번화하지 않아서 여유도 있고 좋아요.
탄천뷰로 살았었는데 건너편 주상복합 야경까지 합해서 뷰도 너무 좋았구요.
학교들도 다 근처에 있고 여름엔 바로 정자동 물놀이장 가까워서 좋아요."
419,"녹물나오는것빼고는 다좋습니다
지하철도 걸어서 3분"
420,곧 입주하는데 녹물이나 이런 컨디션들 어떤가요?
421,작은집은 신혼부부가 살기에 딱 좋았던곳
422,탄천과 정자역 접근성이 가장 좋은 아파트. 후문쪽은 마트가 먼게 단점
423,탄천이 근처라서 아이랑 같이 산책하기 좋고 교통은 두말할것 없이 너무 좋죠^^ 실거주로 너무 좋은 아파트입니다
424,"단지내 유치원,초등학교,중 고등학교 도보가능으로
학군우수,정자역,신분당선역세권 가능,아이
키우고 교통편리하여 최고예요!"
425,"정자역 가깝고, 강남역 나가는 버스 자주다니고. 분당에서 여의도 가는 유일한 버스도 단지 정문쪽으로 다니네요. 이래저래 참 살기좋은 아파트에요."
426,"탄천이 바로 앞에있어서 산책하고 운동하기 너무좋아요.
광역버스를 정문쪽과 정자역쪽 양쪽 다 이용할수있어서 왠만한 서울도심에 다 갈수있어요"
427,질문드립니다 1-2년안에 46평으로들어가려하는데 로얄동(탄천뷰?)이 몇동일까요?
428,"교통 최고 학군 최고 정자역과 버스 정류장이 가까워 강남 과 서울 시내 금방 갑니다 
또한 sk c앤c 네이버 두산사옥 금융결제원 등등 회사들이 많고 근처 아파트 리모델링 진행중이어서 
굉장히 잠재력이 강합니다
너무 좋습니다"
429,"305동 중간층 살았습니다.

장단점 같이 얘기해볼게요.

+ 정자역 입구까지 도보 11분 (네이버 지도 거리재기), 아파트 조경이 잘 되어 있고 정자역 갈때는 약간 내리막이라 충분히 걸을만 합니다.
- 지하철역에서 올 때는 약간 오르막. 공항버스 내려서 트렁크 끌고 올때는 힘듬...
+ 305동 옆 쪽문에 바로 마을버스 109번(정자역 방향) 탑승 가능
- 그런데, 평일 출퇴근 시간 외 109 자주 안옴
+ 바로 단지 앞 도로(내정로)에 서울 종로/광화문, 강남역 등 가는 광역버스 많음. 정류장은 걸어서 5분 미만

- 이 도로의 차량 소음이 매우 심함. 저는 예민한 편이 아니지만 여름에는 창문을 열고 살 수 없을 정도고.. 특히 도로가 오르막이라 버스의 엔진음(언덕에서 가속시), 에어브레이크 소리(버스 멈출때 나는 “치익” 소리) 때문에 열대야에는 문을 닫고도 잠을 잘 수가 없음

+ 편의시설 꽤 있어요. 아파트 상가 정동마트에서 간단한 장보기 가능하고, 305동 건너편에 파리바게트, 바르다김선생, 스타벅스, 버거킹 등 있어서 가벼운 식사나 간식 가능하고, 한솔6단지 상가의 발리스포츠에 365일 24시간 사우나도 자주 이용했어요. 발리스포츠도 연간 회원 등 끊어야하지만 수영장, 헬스 등 운동시설 만족하고 이용했습니다. 이마트는 걸어갈만 하지만 장을 보고 온다면 배달시키가나 개인 카트가 필요합니다..

- 23평 등 소형평수 아파트가 많은 곳은 주차 공간 부족합니다. 새벽 늦게 들어와서 이중주차를 안 할거면, 옆 동의 빈 자리를 한참 헤매야될지도 모릅니다.. 지하주차장은 있지만 아파트와 연결은 안 되어 있어요. 분당 옛날 아파트들은 대부분 다 똑같음

- 수도 노후 배관은 2014년인지 2015년에 다 고쳤지만, 아파트 집안 내부의 배관은 문제가 정말 많습니다. 살면서 아랫집에 물이 샌다고 해서 부엌가구 다 철거하고 배관 수선을 했는데요. 90년대 중반에 지은 아파트는 그런 케이스가 없는데 우성건걸이 싱크대 하수관을 주철관으로 해놔서 주철관이 녹슬고 삭아서 물이 샌거였어요. 이것때문에 돈 많이 들었습니다. 관리사무소에 공사 신고했더니 그럴거면 거기 난방관도 자주 터지니까 같이 공사하라고 안내해주던데 이건 전 집주인이 이미 교체했어요. 새로 이사할 분들은 아파트 내부 배관이 교체된적이 있는지, 아랫집이나 윗집에서 물 샌 흔적이 없는지 등 잘 살펴보세요.

- 305는 동향인데 바로 앞이 길이라 햇빛 정말 잘 들어요. 반대로 서쪽의 작은방은 해질때 햇빛이 너무 강해서 여름에 정말 덥습니다.

- 관리비는 작은 평수와 많은 세대수를 생각해보면 많이 나오는 편인거 같애요. 여름엔 13만원인데, 겨울에 30만원 넘은 적도 많았어요."
430,오래된 단지여서 주변 조경이 울창합니다. 교통은 최고!
431,"교통이 좋은편이나 집이 노후됨
인테리어 필수"
432,"역세권,탄천 좋은 조건이지만, 넘 비싸다."
433,"단지내 초등학교,중학교 및 걸어서 고등학교까지 모두 해결, 정자역, 신분당선 초역세권, 탄천까지 모두 도보가능, 단지관리도 깨끗 .모두 만족하며 살고 있어요~^^"
434,입지 좋은데 주차가 너무너무 힘들어요
435,마트가깝고 전철역 및 버스정류장 가깝고 탄천가깝고 살기 좋아요 아파트내 조경이 특히 잘되어 있어 산책하기 좋습니다
436,탄천 가깝고 나무도 많고 동네 분위기 너무 좋아요
437,좋은 곳이에요. 전철역까지 6분정도 걸리더라구요. 외풍없고 난방이 좋지요.
438,"아파트 안 산책로가 보물 입니다.
주상복합을 고민하다 여기 보고난 후 바로 결정.
여름엔 거의 산림욕 수준"
439,정자역도 가깝고요  탄천뷰는  최고죠
440,"좋은점 : 탄천과 지하철 접근성이 최고입니다. 
나쁜점 : 연식이 오래된 아파트라..."
441,단지에 나무가 울창해서 정말 좋습니다. 조용하고 살기 좋습니다. 정자역 도보 10분 이내이고 단지 앞으로 분당에 왠만한 버스는 다 다녀서 대중교통도 좋은 편입니다. 길가에 있는 동은 조금 시끄럽지만 단지 안쪽에는 고요합니다. 주차시설이 조금 부족합니다.
442,정자역 가깝구여. 탄천이나 공원길  있어서 사계절 변화를 가까이서 예쁘게 느끼고 있는 중입니다.
443,"상록우성아파트 실거주자예요~~
1)교통: 
-지하철: 신분당선,분당선 지하철역까지 도보로 5-7분
(양재,강남역 15-16분,고속터미널30분,을지로 등 3호선 양재 환승 이용 편리)
-광역버스: 아파트 정문쪽(도보로 4분)정류장, 정자역쪽(도보로 5-7분) 버스정류장(백병원 40분,광화문 50분,배차간격 짧음,버스 4-5대)

2)산책,탄천 바로 앞이라 산책 운동 용이
3)중앙공원 도보로 20분,차로 5분,버스2정거장,,공원 view넘 좋고 산책,운동,분당의 자랑 공원(서울 올림픽파크만큼이나 좋음,,,산,호수,산책길 다 있고 문화행사..파크콘서트 대박 라인업 좋음)
4)교육: 아파트단지내 초등,중학교 건널문 건너자마자 고등학교 있음
5)단지내 대형슈퍼, 건널목 건너편 홈플러스,버스2정류장 이마트, 도보가능거리에 자연드림,한살림 매장
6)근처 은행(하나,신한,국민,우리),병원,학원 넘 많고 아파트앞에 스타벅스(근처 도보로 가능 스타벅스 3개)
7)정자역,판교역 대기업 직장 많음(정자역: 네이버,sk 등)
8)판교역현대백화점(자철1정류장,차로 10분),수내롯데백화점(자철1정류장,도보로15분),서현ak프라자,죽전 신세계 등 major백화점 20분 내 이용 가능
9)아파트단지 오솔길 너무 예뻐서 힐링되고오,,사람들 다 사진찍구요,,정자역 직장인등 점심시간에 오솔길에 산책와요~~

적다보니 장점이 너무 많은데
팔이 아파서 더 못 적겠어요..
아무튼 정말 서울 강남,강북 직장가기에ㅜ넘나 편하고 공부시키기도 좋고 숲세권 등산 산책 등 힐링 가능한 지역이예요~~~"
444,"탑층은 어떤가요?
수압, 단열, 누수, 결로 측면에서요.
수리하고 들어가도 극복하기 어려울까요?"
445,"이 단지에서만 동 옮겨가면서 8년정도 살았습니다. 정자역으로 신분당선과 광역버스 타기 매우 좋고 단지 조용, 중앙 산책로가 거의 나무 터널로 되어있어서 산책하기도 좋습니다. 탄천도 가깝고요. 단점은 주차공간이 적고 주차 칸 자체도 매우 작아서 대형차는 주차 자리를 잘 봐가면서 해야한다는점. 층간소음 있으면 그대로 다 들린다는점입니다."
446,"신기초등학교  바로 옆에 있는 정자동물놀이장입니다
탄천 물놀이장 중에서 규모가 가장 큽니다"
447,"정자동 탄천뷰입니다
가운데 보이는 다리가 상록우성과 정자역(신분당선/분당선)을 연결하는 신기교 입니다"
448,탄천뷰 동에 사는데 사계절 너무 이뻐요.(사진은 가을 겨울만 있네요)
449,"버스와 지하철 등 대중교통도 좋고, 단지 조경도 좋습니다"
450,"교통이 편리해서 참 좋습니다
주변 조경도 훌륭하구요"
451,1층 바퀴벌레 안나오나요? 1층 들어갈까 고민 중인데... 1층이라서 여름에 덥고 겨울에 추운 문제도 있겠죠? 수리 잘하면 그래도 괜찮을까요?
452,"정자역과 매우 근접하여 강남으로 출퇴근이 용이하며, 광역버스 정거장이 바로 옆에 있어 강북권으로도 이동하기가 매우 편합니다. 또한, 탄천 산책로, 마트, 도서관, 문화센터, 동사무소등 각종 편의 행정 시설이 인접하여 조용하고 편안한 삶을 누리기엔 최적의.아파트입니다."
453,"네이버, 두산, 하이닉스, 현중 등 기업이 지속적으로 모이고 교육, 교통, 환경 등 살기도 좋고 투자가치도 최고네요. 작년에 32평 리모델링하고 들어왔는데 오래오래 살 것 같습니다."
454,"* 대한민국에서 도시설계가 가장 잘된곳이 분당
입니다. 도시설계 즉 인프라는 재건축 . 리모델링으로도 불가능합니다. 그런면에서 분당의 가치는
영원할 것입니다. 그중에서도 정자동 상록우성은
지하철.탄천.초중고교가 넘 가까워 거주 편의성에서
찿아보기 힘들 정도로 드문 대단지 입니다.
향후 대기업 입주로 전망은 매우 밝다고 자부합니다."
455,"분당에서 이정도 주차 편한 아파트 몇 없습니다
신혼 때 구미동 까치마을 살다왔는데
2중 기본 3중까지도 가더군요..
여긴 2중주차도 몇 대 안합니다
주차편한 게 생활의 질과 연관이 많습니다"
456,정자역에서 가깝고 아파트 주변 조경도 아주 잘 되어있습니다. 강남 진출 용이하고 판교왕 거리도 가까운 최고의 동네라고 생각합니다. 분당이면 학군도 우수하고요! 강추입니다!
457,교통 좋고 환경 좋고 아파트만 새거면...
458,조용한 단지이고 아이들 키우기 좋은 아파트에요
459,38평이 장이 네개가 있는집과 3개가 있는집이 있군요. 4개가 필요한데 일단 전세로 들어가서 매매를 생각해야할지 지금 매매로 해야하는지 고민입니다.
460,탄천 가까워서 좋아요 강남도 금방갑니다
461,74.77은 모두 복도식 아파트에 해당하나요?
462,321동 살았어요. 동향이라 안좋지만 뒷베란다에서 탄천이 한눈에... 지금은 팔고 나왔는데 탄천 뷰는 아직도 점 아쉽네요
463,"근처에서 채소로 유명한 정동마트 가 가깝고
바로 앞에 수영장 (필립스)이 있어서 생활하기 정말 좋아여"
464,26평이 30평대보다 지하철 가깝다.
465,용적률이 219%로 재건축은 힘들겠지요??
466,가격이 비싼것 같아요...옛날 아파트인데...거품같은데...떨어질까요??
467,"중학생때부터 20년가까이 살던곳이에요 
결혼하면서 정자동을 떠났는데 정말 돈이 없어서 못가요.. 걸어서 탄천 불곡산 도서관 이마트 주변에 공원 많고 조용하고 살기 좋죠... 비싸서 문제지ㅠㅠ"
468,"대단지에 아늑한 환경으로 되어 있는 정자동의 대표 단지 중 하나입니다. 연식에 비해 주차는 무난한 편이며, 정자역 이용이 가능합니다. 아무래도 연식이 있어 불편한 점은 있지만 인근 지역 상권이 잘 갖추어져 있고 학교도 가까이 있어 살기는 좋습니다. 다만 재건축은 쉽지 않으니 투자목적보다는 실거주로 접근하는게 좋겠습니다"
469,단지내 수목이 아름답고 아이키우기 좋습니다. 단. 편의시설 먼것은 단점이지만 전반적으로 만족합니다
470,전세보러 부동산 가봤더니 31평 남향 6억 달라이더이다 ㅋㅋ 동향은 5.5억 ㅋㅋㅋㅋ 대체 여기있는 실거래가는 어디 부동산입니까??? 아니면 부동산의 농간입니까??
471,"* 저는 이렇게 생각합니다.
신축 아파트가 구축 아파트 보다는 당연히
좋습니다. 하지만 시간이 지나면 노후화 되기
마련입니다. 그러나 탁월한 입지 교통.학군.각종
인프라는 영원한 것입니다.  그러한 점에서 상록우성
아파트는 매우 우수한 입지를 가지고 있는것입니다.
재건축연한 30년이 다 되어가기 때문에 향휴 재건축
이든 리모데링이 되는것은 당연한 이치 라고 생각합니다.  대치동 은마아파트 가  좋은예 입니다.
30년이 훨씬 넘은 은마아파트가 왜 비싼 건가요
바로 훌륭한 입지 입니다. 따라서 상록우성은
어디다 내놔도 전혀 꿀릴게 없읍니다."
472,"아파트는 낡았지만 주변 환경 매우 좋음.
좋은 어린이집, 병원, 상점 많음.
정자역쪽 가면 놀 곳도 많음."
473,23평 살았는데 다 고쳐져 있는 집이라 그런지 몰라도 한겨울에 따뜻해서 난방도 거의 안틀고 잘 지냈습니다.
474,313동(32평) 삽니다. 겨울에 난방비 너무 많이 나옵니다. 관리비 최대 50만원 가까이 나옵니다. 겨울에 난방 밤과 아침에 잠깐씩만 틀었습니다. 관리사무소에선 샤시가 오래되서 그렇답니다. 샤시 오래된 집에는 절대 들어가지 마세요. 집주인이 샤시 안해주면 들오가지 마세요. 못믿으시겠다면 연락처 까겠습니다. 증명 하겠습니다.
475,정자역에서 가까운게 최고 장점. 주변에 웬만한 시설 다 있어서 위치는 정말 좋습니다. 전체적으로 매우 만족스럽지만 오래된 아파트라는 점 하나만 살짝 아쉽네요. 이사오실 때 다들 공사를 한참 하십니다.
476,"위치나 환경은 좋다
집이 오래되서 재건축해야 한다"
477,"좋은점 : 
나무가 많다
마트가 주위에 많다
정자역이 가깝다
정자동이라는 네임밸류

단점:
옛날 스타일 집 구조"
478,"25년 쯤 되긴 했지만 관리도 나름 잘 되고 아파트 내 녹지도 충분함
주차는 작은 평수 동은 다소 불편할 수 있으나 전체적으로는 근처 아파트 대비 수월한 편임
정자역 쪽 대로변 길 건너면 엠코헤리츠 근처 맛있는 집도 많아서 가족과 시간 보내기도 좋음
26평 동은 정자역과도 가까워서 강남 이동 용이함
학군은 신기초 - 정자중인듯"
479,"신분당선 더블역세권, 촘촘한 도로망, 탄천뷰탄천공원, 판교직주근접 어느하나 빠질것 없는 대단지"
480,"정문쪽 동향동 저층은 어때요? 소음, 매연 노출이 심한지 궁금합니다.."
481,정자역까지 가까운 편이나 단지 위쪽 집이면 오르막길이라 꽤 시간이 걸려요
482,"정자역까지 도보5분으로 가능하고, 바로 옆에 탄천이라 조깅하고 산책할 수 있어요. 4계절 변하는 탄천의 모습을 구경하는 재미가 있습니다. 

교통은 대부분 만족하지만, 대중교통으로 여의도, 목동 이쪽으로 가기엔 좀 멀어요. 

아파트 오래된 것만 빼면 ㅠㅠ 쭈욱 살고 싶은 집이에요~ 신혼때부터 단지내에서 이사다니면서 6년 거주했습니다."
483,봄여름가을에 단지를 관통하는 길은 보고만 있어도 상쾌합니다. 탄천은 말할 것도 없고요. 지하철 역 가깝고 광역버스도 여러대 지나다녀요.
484,복도식이고 오래된거 빼면 관리잘되고 분리수거편하고 마트 좋고 역가까워 살기좋아요
485,녹물과 주차공간이 아쉽지만 녹지 충분 관리가 잘되어 좋습니다
486,너무너무살기좋아요 역이랑가깝고 탄천이있어서 매우좋음
487,"정자역 가깝고 조용하고 살기좋은 아파트입니다.
서울과 비교했을때 비싼 가격과 협소한 주차공간은 단점입니다."
488,서울 출퇴근 대중교통편이 매우 잘 되어있습니다.
489,"접근성 좋고 단지 관리 잘 되는 편이라 나쁘지 않은데 오래된 아파트라 역시 층간소음 너무 심해요
물론 어떤 이웃을 만나느냐 따라 달라지겠지만 관리인분들이 항시 계시는게 아니라서 이런 대응이 어렵네요"
490,아파트 정돈이 잘되어있고 단지내 산책로가 좋아요.
491,단지조경잘되어있고 버스도 지하철도 가깝고 정말 살기 좋았던 동네였어요!!
492,아파트 연식이 좀 있다는거 외에는 살기 너무 좋은 것 같습니다. 실거주 하시는 분들은 어느정도 인테리어한다면 만족하시고 살 것 같습니다. 물론 새아파트랑 비교하면 안되겠죠 ㅠㅠ
493,정자역 가깝고 살기조용하고 탄천 운동가기좋구 분당에서 최고의 지역입니다
494,입주자 대표가 바뀌면서 갑자기 돈 걷는 분위기. 이젠 평형별로 주차비도 차별해서 걷기로 했답니다.
495,아파트후문에서 가까운 동에 사니까 지하철 도보로 5분이면 가고 탄천가깝고 지하철 가깝고 단지내 나무 많아서 만족도가 매우높았습니다~ 다만 지하주차장이 엘베연결이 안되는점이 가장 불편했네요
496,32평 307동 동향 중층 조망 잘나오는지 도로변 소음은 어떤지 전반적인 층간소음은 어떤지 궁금합니다
497,"지금이라도 투자하면 2019년 말경쯤....최소 2억원은 상승할 수있다. 이유는 간단..저렴하기때문이다. 꼭- 잊지말고 기억해주셨으면 한다. 교통, 학원, 은행권, 편의시설, 탄천, 백화점. 스포트센터등... 모든 것을 갖춘 아파트인데. 강남 40평 초반대 비교해서, 50% 수준이며 판교의 65% 수준으로 매우 저평가 되어있다."
498,주차가 너무 힘들어 오년전 이사했습니다. 그 외는 괜찮습니다
499,"어제 정자동 행복마을 이벤트를 아파트 아래 숲길에서 했습니다. 플리마켓, 다양한 이벤트 등 정말 재미있게 보고 즐겼지요. 살기 좋은 동네 입니다."
500,"지하철과의 거리, 탄천 및 산책로, 초/중/고 학교 뭐 하나 빠질것 없는 입지"
501,"정자역이랑 가깝고 유치원, 초등고 근처에 다 있어요. 버스노선도 많고 살기 편합니다. 낡긴했지만 관리도 잘되는 편이예요. 결론은... 낡은것빼곤 다 좋아요"
502,"306동에 거주했는데 결혼으로 친정과 분가하였습니다. 정자동 지역 뿐만이 아니라 현재 거주하는 강남 보다 더 살기 좋았습니다. 울창한 나무와 공원, 교통도 편리하고 인근에 헬스 쇼핑  사우나 등 상가도 잘 되어 있어 그 곳이 그립네요."
503,주차가 저녁7시넘으면 지하 힘듦. 사람들이 휴일에도 안나가는듯.
504,정자동 대장아파트. 전체적으로 관리가 잘 되어있는 편입니다^^ 늦은 저녁에도 무리없이 주차 할 수 있어 좋아요! 단지내 상가에 큰 마트 포함해서 잘 구성되어 있구요. 단점을 꼽자면 대단지라서.. 소형평수의 경우 역에서 제일 먼곳이라ㅜㅜ 역까지 좀 많이 걸어야 하고(바쁜 아침 출근시간에는 마을버스 이용) 언덕이라 버스 소음이 꽤 있네요.
505,305동 23평 복도식 4년 거주했습니다. 대단지에 교통편리하고 좋았네요. 결혼 후 신혼을 여기서 보냈는데 전세로 2년살고 나서 집 주인분이 매수 권하셨는데 그냥 반전세로 연장해서 총 4년 살고 나온게 지금 많이 아쉽네요.
506,"교통이 진짜 편리하고, 오래됐지만 아파트 관리가 잘되고 있는 편인듯 합니다."
507,"역에서 생각보다 멀고 경사가 심한 심한편이라서 역세권이라고 하기에는 불편해요...
다리건널때 비릿내도 나고 겨울에 칼바람에 어두워서 늦으면 좀 무서워요. ㅜ"
508,"305동에서 5년 살았는데, 정말 살기좋은 동네이자 아파트네요. 정자역까지 걸을만한데 귀찮으사분은 마을버스 정거장이 바로 동 옆이라서 가깝고여~ 신분당선과 광역버스도 많아서 서울나가기도 편함.
단, 동향에 버스다니는 차로가 옆이라 베란다 열면 소음은 조금 있어요."
509,살기는 무지 좋습니다. 서울보다는 못하겠지만요
510,"서울 출퇴근은 쉽지는 않지만, 거주에는 더할나위 없이 좋습니다."
511,정자역에서 걸어다니기 좋고  ****-****-**** 타면 서울 어지간한 곳은 다 갈 수 있어요. 단지 내 정동마트가 있어 간단한 물건 사기에 좋아요.
