,리뷰
512,"정자우성아파트 바로 옆에 있는 리모델링 시범단지로 선정된 정자동 한솔마을 주공5단지(1천156가구), 정자동 느티마을 3단지(770가구), 정자동 느티마을 4단지(1천6가구)가 리모델링 공사 들어가면 우성아파트에 몇년동안 먼지가 엄청날듯 합니다. 공사가 언제 시작되고 몇년이 걸릴까요?"
513,교통좋고 유해환경 없어 학생있는 집에게 좋습니다.
514,"분당에서 단지관리가 잘되는 아파트 중 하나입니다.
주차공간도 넓고, 조용하고 소독도 철저해서 벌레도 없습니다.
관리비도 나와있는 금액 그대로입니다.
분리수거는 요일지정없이 아무때나 가능해요"
515,단지내 이동로가 산책코스처럼 멋집니다. 정자역까지 탄천뷰를 보면서 걸어갈수 있어 너무 좋습니다.
516,사람이 사는 동네. 마실이 즐거운 동네인 것 같아요. 현관문 교체가 있었음 좋겠는데...
517,"피트니스센터 마트 카페등 편의시설이 메우가깝고 지하철역까지 가는길도 큰 길 없이 공원을통해 접근할수있습니다.
단지내 다소 경사가 있는점이 굳이 꼽자면 유일한 단점"
518,대단지고 오래된 아파트임에도 관리가 잘되어 깔끔합니다. 지하주차장이 있긴하나 좁아서 지상에 주차해야하는 점은 불편한 점입니다.
519,신혼부부 살기에 정말 좋습니다. 집이낡은거빼고는 최고의 거주지인듯여 ㅋㅋ
520,"지하철. 버스 교통 좋음
정자역에서 가장 가까운 대규모 공동주택단지
탄천 이용 쉽고 조용하고 살기좋음"
521,정자역이 가까워 신분당선이용이 편함
522,"강남(대치 24억) 대비 50%, 판교역 대우그랑블(43평-19억) 대비65% 수준의 매우 저평가된 아파트. 거주나 투자도 좋다. 편의시설, 은행 5개, 교통(버스, 지하철 5분거리) 초역세권 정자동 랜드마크다"
523,"서울 가는 버스가 많고 버스정류장과 지하철역이 가깝습니다 신분당선역이용하면 강남이나 양재는 30분도 안걸려요
탄천도 가까이 있고 교통 편의시설 모두 좋습니다"
524,"교통편하고 살기 좋고 편의점등 시설 좋습니다.
다만 주차가 헬 ㅠㅠ"
525,"- 오래된 아파트인데 딱히 나쁜 정도는 아님. 녹물 배관 고친뒤로는 녹물도 안 나오는 것 같음
- 유치원 초등 중학교까지 가까이 있어 아이들 키우기 좋은 편. 여름에 아이들 데리고 탄천 물놀이장 가기 좋음
- 주차장은 일부 동을 빼고는 주차에 어려움 없는 편. 지하주차장에 엘리베이터가 연결 안 된 것은 아쉬움
- 지하철역에서 가깝고, 제일 먼 쪽도 보통 마을버스로 바로 가기때문에 편리함
- 강남 접근성 good, 종로 잠실 정도는 ok, 타 지역은...
- 은근히 경사가 있음. 처음에 왔을 때 왔다갔다 하기 의외로 힘들더군요"
526,갑자기 9억 7천은 뭘까요;; 후덜덜
527,"찜질방, 헬스클럽, 병원, 카페, 음식점, 마트 등 모든 편의시설이 도보로 5분내에 있고 버스도 5분내 전철도 7분내의 거리에 있어 매우 편리한 위치에 있음 강추!!"
528,살긴 좋지만 아파트가 노후한건 사실이에요
529,가까운 곳에 탄천이 있어 산책하기 좋고 신분당선과도 가까워 교통이 편리합니다.
530,"쾌적해요. 큰평수동은 주차난도 없어요.
관리가 너무 잘되는 아파트입니다~!"
531,"상록마을 살고 싶은데 
가장 큰 장점과 단점이 무엇인지 궁금합니다"
532,혹시 층간 소음은 어느 정도 인가요?
533,동네가 조용하고 나무도 많아서 쾌적합니다. 오래된 아파트지만 이제 녹물도 안나오고 살기에 좋네요~
534,"주관적 감정을 배제하더라도 교통부터 생활 인프라
녹지까지 최고예요. 주차공간이 많아지면 더 좋겠지만요."
535,"교통편, 아파트상태, 관리 모두 좋습니다. 구도도 좋아 동일 평수기준으로 넓은 느낌입니다. 그만큼 동일평수 기준으로 가격도 셉니다."
536,전철가깝고 상록수 우거져있고 산가까이 있고 좋아요
537,"위치가 너무 좋습니다. 정자역 도보 5분이고 회사 셔틀들도 정자역 부근 혹은 상록마을 우성아파트 정문으로 다니기 때문에 어디 가기엔 최적화 되어 있습니다. 또 바로앞 탄천뷰가 너무 좋고, 여름에 탄천에 아동용 풀도 열려서 여기도 활용할 수 있습니다. 또 길건너면 정자동 까페거리가 5분입니다. 모든게 다 있는곳이라 만족합니다 ㅎㅎ"
538,학군도 그닥인데 22평이 6억이 넘게 호가를 부르다니 ㅎㄷㄷ 잡는 사람 호구일듯... ㅎㅎ
539,관리가 정말 잘 되어있는 동네에요. 느티 리모델링 후에도 더 기대되는 단지입니다.
540,정말 좋은 단지입니다. 주차장이 조금만 여유있으면 더 바랄것이 없는 곳이죠
541,단지 관리가 잘 되고 역 근처라 살기 정말 편한 곳입니다. 비싼 것만 아니면 계속 살고 싶은 곳입니다.
542,교통 편의시설등 인프라가 너무 만족스럽습니다. 아이들키우기도 좋고 오래된아파트이지만 비싼 이유가있는거같아요
543,"살기좋아요~ 대형평수중심이라 작은평수는 길가 중심이라 아쉽지만 정자역 가깝고 버스도 많고 마트 스벅 가깝고 오래되도 다른 아파트보다 단지가 깨끗하게 관리가 잘되요, 무엇보다 재활용 매일 버릴 수 있는게 굿! 분당 다른 아파트보다 주차공간은 그나마 덜 지옥... ㅋㅋ"
544,"교통, 공원, 백화점, 편의시설등 다 갖추고 있다.
오래된 거와 비싼거빼면 만점.."
545,"정자역 초역세권이라 입지는 최고죠
아파트나이만큼 입주민도 같이 늙어가겠죠"
546,"정자역 더블 역세권, 학세권, 탄천변, 학원가, 주변 대기업 수요, 교양있어 보이는 주민분들 등 무엇 하나 모자란게 없는 것 같아요.

판교테크노밸리 및 정자동에 향후 추가 대기업 입주 등 앞으로 실현될 호재도 많아 수요도 더 많아 질 것 같습니다.

재건축(또는 리모델링)후가 더욱 기대되는 상록우성입니다."
547,정자역 역세권에 단지간 간격도 넓어서 쾌적한 편입니다. 단 끝동이라면 고려해봄직할듯...
548,"아파트가 좀 오래된 것 말고는
거주성, 편의성 모두 경기도 탑클래스입니다.

아파트가 오래되서 녹물 나온다고 하시는 분들 있는데 몇년 전에 (5년 안쪽??) 수도관 싹 교체하면서 녹물 거의 없다고 들었어요. 제가 2년째 살면서 아직 녹물 한번도 본 적 없습니다."
549,"일단 입지가 좋습니다 버스 지하철 이용이 편리하구요
길 건너면 마트 병원 운동센터 이용 용이하고 
학교 가깝습니다"
550,"6년전 거주시 만족스러웠습니다.
교통 환경 조경 만족해요"
551,최고의 입지환경!!! 강남 출퇴근 편리하고 빠르고 지하철역이랑도 매우 가까워요~ 마트도 골라서 갈수있고 탄천만 건너면 바로 학원가 상가 밀집지역이라 편리성과 조용한 주거환경 모두를 갖췄습니다.
552,"위치 최고에요 배달 안돼는것도 없고 정남향 동 고르면 하루종일 집이 따뜻해요. 
전철역까지 가는길은 거의 산책로고 뒷문으로 가면 109번 타고도 금방 가요
다만 전철에서 집에올때 아주약간조금 오르막이라 버스타게되네요"
553,"관리비. 난방비가 저렴하고 조용해서 좋았고
근처 병원 학교등 시설이 편리해서 좋았음"
554,교통 탁월하고 교육 학원 탄천  환경 뭐 하나 빠지는게 없네요
555,"정자역 가깝고, 산책로 등, 단지 관리 잘 되어 있습니다.
소형 평수라 주차 걱정했는데 스트레스 받는 일 거의 없네요.
만족하며 살고 있습니다."
556,매물이 11억 헉~~ 위치로는 최상인 곳~~ 11억이상에 거래가 될지 궁금하네요 허허
557,서울 강남외 지역으로 출퇴근은 어떤가요? 서울 접근성이 궁금합니다
558,"아파트가 낡고 오르막이 심하지만
주변 상권발달이 잘되어있고 교통이좋아요
매입은 고민되지만... 전세로 살기에는좋아요"
559,"만 4년 거주했는데, 살면 살수록 좋은 동네입니다.
대중교통, 도로 모두좋고,
학교, 학원, 마트, 인적 인프라좋고,
탄천을 즐길 수있고,
탄천 너머 번화함이 편리한데, 적당이 떨어져있어 초등아이 키우는데도 바람직합니다.
동네주민들 수준이 높고, 주차도 수월하고,
관리 잘되고, 나무들 우거지고, 중간의 숲길같은 인도는 어찌나 이쁜지요,
우리아파트 최고!"
560,교통이 너무 편하고 관리가 잘 되고있는 단지입니다. 입주민들 수준 높고  어린이집 및 초중고 외에 학원가와  상가 다 가까와 살기 좋습니다.
561,주변 대비 주차공간 넓어 맘에들고 중학교 가깝고 신분당선 가까워 출퇴근도 좋습니다.
562,"탄천가깝고 지하철역 접근성좋습니다. 학군도  무난한편이고 이마트, 정동마트, 자연드림등 모두도보로  장보기좋고  병원, 은행, 스포츠센터도 가까워  살기좋아요."
563,"오래된아파트입니다.
정자역 접근성은 좋은데 마트는 정동마트가 있는 정문근처 아파트만 가깝고 아파트가 대단지이다보니 후문쪽은 마트접근성이 상대적으로 멉니다.
편의점을 갈려고해두 정자역 너머 가야해서 아쉬운부분이 있네요"
564,"저평수대면 굳이 여기 살 필요가 있나싶습니다. 정자역에서
 걸어다니기 힘들어요. 도보 15분, 그리고 오르막길입니다."
565,조용한 단지내 산책로 편리한 교통과 편의시설
566,산책공원로가 가장 좋고 아이들 키우기 좋아요 오래된 아파트치고 관리도 잘되구요
567,"최고의 위치, 최고의 환경, 정말 이런 동네 찾기 어렵죠"
568,"어떤말이 더 필요할까요.. 입지깡패 이거 하나로 게임 끝이죠
아직도 저평가 입니다. 정말 살기좋은곳 입니다."
569,305동 거주자입니다. 정동마트가깝고 정문에서 강남까지 가는 좌석버스들이 5분 간격으로 계속 옵니다.. 후문쪽으로 나가면 신분당선 탈 수 있고 여러모로 교통편리하고 좋아요. 단 주차공간이 살짝 모자라는 느낌이 들지만 그건 다른 낡은 아파트들도 마찬가지라.. 그 외엔 모두 만족합니다
570,탄천이랑 가깝고 지하철이 가까워 생활권이 상당이 좋습니다. 아파트앞 도로도 차가 많이 다니지않고 속도를 많이 내지 못하여 시끄럽지않고 상당히 좋습니다 이상 325동이였습니다
571,역 가깝고 버스도 많고 교통과 탄천조합은 아주 좋습니다 단점은 정문쪽말고 후문쪽은 가까운 슈퍼가 없다는점?
572,"장점이많은 아파트에요 역가깝고 대단지 무엇보다 나무가 정말많고 숲속에사는 기분입니다
단점은 단지안에 언덕이많아요.유모차가 살짝 버거움."
573,교통편리하고 아파트 단지관리도 잘되고 살기 좋아요
574,"단점: 아파트가 오래됨(구조가 안 좋음). 주차공간 부족. 주차 공간 폭이 좁음(아파트에 차들은 대부분 커서 더 문제).

장점: 이거 빼면 딱히 단점은 없음."
575,교통이 편리하고 남향집이 많아서 햇살이 잘들어 와요. 그라고 탄천이 옆에 있어서 산책하기 좋아요.
576,"역세권,오래된 아파트지만 지하주차장이 있어 주차가 용이한곳
최근 스타벅스 입점으로 스세권까지"
577,"지하철 역과 가깝고 단지 조성이 잘 되어있어서 생활하기 편리합니다.
아파트가 오래 되었고 지하 주차장이 연결이 되어있지 않아서 조금 불편합니다."
578,후문 상가에 편의점만 하나 있으면 더할나위 없이 좋을것 같아요!
579,정자역이 가깝고 시내버스 운행차량이 많아 교통은 정말편해요. 나무가 많고 생활은 편리 하지만 오래된 아파트라 외형적인 부분은 감수해야됨
580,아파트 관리도 잘 되어있고 편의시설이나 교통도 잘 갖춰져 있고 살기 편하고 좋아요 오래되서 지하주차장 없는것만 빼곤 만족합니다
581,단지 가운데를 가로자르는 숲 수준으로 울창한 단지 산책길. 단지 밖에서 바로 걸어나가는 탄천에서 여름에는 탄천수영장을 운영해서 아이들 놀리기 너무 좋아요. 옆단지 느티마을 라모델링이 끝나면 중학교 학군도 수내 못지않게 좋아지리라 생각합니다.
582,"단지 내 초등학교 중학교 있으며, 더블역세권으로 교통 또한 편리합니다."
583,조경이 좋고 무엇보다도 신분당선이 연결되어 있어 강남까지의 접근도 뛰어나서 좋습니다
584,"1.교통-정자역세권 일반아파트중에선 최고입지 입니다 
2.주거환경-연식이 좀오래되서 낡은감은 있지만 단지조경이 그만큼 무르익어서 한참때는 숲속에있는듯한 느낌입니다
3.겨울에는 관리비가 좀 많이 나오는듯함
4.단지입구앞 종합스포츠센타가있어(수영장,사우나,골프,등등)넘 편리합니다"
585,"역 가깝고 조용하고 교통 편하고
신기초 정자중 가깝고 탄천 가까워 운동하기좋고 
이웃주민들도 좋고 참 좋습니다."
586,"지하철역이 가깝고 탄천도 바로 붙어있고 단지 안에도 산책길이 있어서 산책하기가 좋습니다. 소형평수부터 대형평수까지 있어서 세대 구성원들이 다양한 편이며, 단지가 대체로 조용하고 깨끗합니다. 학원가도 가까우며 단지 내 초등학교와 중학교가 있어서 아이들 통학하는 것도 좋습니다. 주차는 같이 쓰는 동이 몇개냐에 따라 동마다 편차가 조금 있는 편이지만 어렵지는 않습니다."
587,"강건너 정자역 아파트 중에서는 단연 최고죠
다만 고질적인 주차공간 부족, 층간소음은 분당 전지역이 가지고 있는 문제라 어쩔수 없군요"
588,단지가 넓고 탄천 가까우나 주차공간 부족
589,정말 다 좋은데 세대수가 많은 303동과 305동 앞 주차장은 늘 붐비네요..
590,언덕깍아 만든지형이라 불편한점이 있음 하지만 조경이 잘되있고 주변 편의시설들이 잘 갖추어져있음 주상복합쪽을 제외하면 느티마을과함께 가장 지하철역에 가까움 또한 일반 및 광역버스 많아서 교통도 좋은편
591,나무가 울창해 상록하이드파크라 부르고 있어요
592,"강남20분거리, 사통팔달 교통편리하고 교육여건좋습니다."
593,역 가깝고 단지내 유치원 선생님들도 너무 좋고 동네 정겹고 좋습니다.
594,"아파트는 좀 낡았지만 단지 관리 잘 되어있고 탄천, 지하철 접근성 너무 좋아요~"
595,"아파트가 오래 된 것 말고는
관리 잘 되어 있고 위치 좋습니다
아파트 사이 길이 너무 예뻐요."
596,"303동에 2년 거주했습니다 
개인적으로 상록우성 주변 편의는
1) 교통 편리 (광역버스/ 지하철)
2) 주변에 유해시설 없음
3) 나무가 많다

집 자체
1) 오래된 집에 비해 비교적 잘되어있는 인프라
2) 현관 공동 문
3) 배관교체로 녹물 없음
4) 문열면 통풍왕

나머지 단점들은 위장점들이 커버할 수 있다 생각헙니다 (주차가 어렵지만 이전에 더 심한 아파트에 있어서 전 나름 만족 합니다)"
597,"38평에 3년 거주했습니다.  오래된 점을 감안했을 때 구조, 통풍, 난방 등은 양호합니다.  수납공간이 부족해서 면적을 다 활용하지 못하는 점은 아쉬웠습니다.  조용하고 주변에 음식점 타운이나 상가들이 있어서 생활하기에 불편함이 없었습니다..  단지가 커서 서쪽은 정자역, 동쪽은 광역버스 정류장에 가까운데, 반대로 이용하려면 다소 멉니다.  주차는 과밀한 상태였는데 요즘엔 입주민만 출입을 허용하기 때문에 많이 나아졌다고 하네요.  투자목적으론 잘 모르겠지만 실거주 목적으론 전반적으로 양호하다고 생각합니다."
598,"역세권이고, 나무 많고, 정자동 학원 가깝고 최고에요."
599,나무가 많아서 산책하기 좋고 교통이 편리해요
600,"정자역,광역버스 교통 최고
탄천+단지 내 산책길 좋아요
초중학교도 단지 내에 있어요
녹물은 가끔 세대별로 다른 거 같은데 작년에 단지에 전체 배관 공사 끝냈어요
지하주차장이 점점 부족해지고 있고.. 수내쪽보다는 중고등학교 학군이 약하다는 단점 정도? 빼고는 모두 만족했었어요"
601,"분당 처음 생겼을때부터 살아서 20년 넘게 살았는데 차량 주차도 주변 다른 아파트에 비해 세대별 주차가능 대수도 괜찮고 지하철이나 버스 같은 교통편리하고 탄천 등 녹지 잘되어있어 산책하기도 좋고 초,중,고등학교도 인접해 있어서 좋습니다."
602,나무가 많아요. 주변 단지에서 제일 관리도 잘 되고 있고요. 주차 공간은 아주 넉넉하진 않아도 불편하진 않아요. 정자역 도보5~10분. 단지내 정문 상가에 정동마트 있어서 너무 편해요.
603,단지 내 조용하고 지하철역이 가까워 살기 매우 좋음. 다만 지하주차 공간이 협소한 편임.
604,"비록 오래되었지만 모든게 다 갖추어진 단지임
특히 교통이 상당히 편리하며 큰 회사가 많아 상가들이 잘 구성되어 있음"
605,"신분당선, 분당선, 광역버스 이용이 편리해요"
606,"노후화된 아파트, 층간소음 심함. 정자역에 가까워 교통은 만족"
607,"단지가 조용하고 깨끗한게 관리가 잘되어서
오래된 아파트 치고는 좋습니다."
608,"교통, 상권, 학군 인프라 만족합니다."
609,"주차공간도 상대적으로 부족하지 않고
지하철, 버스, 상권, 학교 등이 가까워
입지가 좋습니다"
610,"30평대 중간층 살았고요 주차는 지하주차안되더라도 지상주차가 가능해서 편한편이었고요 정문 입구 바로 옆 상가지하에 꽤 큰 정동마트가 있어 편하게 이용했어요 
학군은 정자역 방향으로 블록내에 신기초등학교 정자중학교가 서로 마주보고 있고 유치원도 단지내 희언유치원과 건너편 느티나무마을 단지에 안촌유치원이 유명해요 위에 언급한 곳들은 모두 찻길 안건너고 모두 이용가능한 곳들이에요 
분리수거는 동마다 지상주차장쪽 한구석에 여유있게 수거하는곳이 있고 음식물쓰레기통도 있어요
소음도 서로 조심하는 분위기라 이전 살았던 강남이나 반포대비 편하게 지내고 있고요
분당이마트는 차로 3분이내이고 오리역 홈플러스나 판교 롯데마트도 가깝고 광교이마트도 차로 30분내 가고 있어요
세대수가 많아서인지 관리비도 연평균으로 치면 매월 내는 관리비가 평당 만원이 안되고요"
611,주차 빼고는 살기 좋습니다. 적절한 위치에 시설 다 있구요. 파이프 교환으로 녹물 없구요. 길가는 좀 먼지가 있지만 교통량이 많지 않아 무리 없어요.
612,"지하철역과 광역버스 정류장과 가까이에 있고 마트나 백화점도 근방에 있습니다.
초등 중등학교가 단지내에 있어 애들 키우기에 좋으나 학생수가 계속 줄어들고 있다고 합니다."
613,관리가 잘되고 주차도 편합니다. 아파트가 끼고있는 공원은 너무 좋져. 용적률때문에 노후화 이후는 좀 걱정이고 중등학군이 좀 별루란게 단점이죠
614,교통과 교육으로 더할나위 없고 조용한 단지입니다.
615,"장점 : 교통, 단지 관리, 탄천, 마트
단점 : 단지내에 고저차, 교육 약간 아쉬움, 오래된 아파트"
616,탄천이랑 정자역이 가까워서 너무 좋아요!
617,오래되었지만 관리가 잘 되서 별로 불편함이 없어 좋아요.. 난방비도 매우 낮은편이구요 전체적으로 만족
618,"단지도 크고 정자역도 가깝고 탄천도 가깝고 위치는 좋아요~
단지안에 초.중학교 다 있고 산책길도 너무 좋아여
아파트 오래된거랑 지상주차는 좀 흠이긴 한데 그건 분당 전체가 그러니 ㅠㅠ"
619,"살기 좋아요 교통편도 좋고
단점이라면 하수관이 좁은거?아아아주 가끔 부엌에 이슈가 생길때가 있어요"
620,"녹음이 우거진 멋진 주거 환경이에요
집은 좀 낡아서 올수리 해야 하지만요"
621,"지은지 오래된 것 빼곤 위치, 교통, 편의시설 등 모두 최고예요! 단지 내 조경도 잘 되어 있고 관리상태두 좋아요."
622,"오래된 아파트지만 관리가 잘된 아파트입니다.
제 경우에는 층간소음이 없었고, 해가 잘들어서 겨울에도 비교적 따뜻하게 생활하였습니다.
출근할때 정자역까지 걸어서 5분이고, 탄천 덕에 전망도 좋지만 아파트 단지 환경도 이쁘게 잘 꾸며져있습니다."
623,"정자역과의 거리도 적당한 편에 초, 중학교 품고 있어서 아이 키우기도 무난하고, 강남이나 광화문쪽 접근 위한 광역버스 정류장도 이용하기가 좋아요. 굉장한 대단지에 관리도 주변 타단지보다 잘 되고 있으며, 단지 내 조경이 아름답습니다."
624,"교통최고 탄천최고
자연환경이 너무좋은 상록우성
주변도 고급스럽고
학군도좋아요"
625,"더블역세권 정자역까지 걸어서 5분, 탄천 산책하기 좋구, 단지내 초등학교, 중학교 있으며, 산책로가 아주 잘 되어 있어요, 입지가 넘 좋아요. 아주 만족하며 살고 있어요~"
626,여기 배관공사는 했나요? 녹물나오는지 궁금해요~!
627,"정자역 바로 옆 대단지여서 편하고, 단지는 조용하고 아늑한 분위기입니다"
628,"지하철역 가깝고 좋습니다.. 길하나 건너면 좋은 레스토랑도 많고요..
하지만 길건너 유흥가가 너무 많네요(-1점)"
629,"주차장 : (동마다 편차가 있으나) 분당 평균 이상 - 좋은 자릴 잡으려면 좀 일찍 퇴근해야하지만, 실외라든지 동에서 먼 위치 등 까지 생각한다면, 새벽에도 단지 내에 자리는 충분함"
630,"신분당선 정자역 여자걸음 도보 10분
단지 바로 앞 서울 나가는 광역버스 다수
주차공간이 조금 부족합니다."
631,오래된 것 제외하고는 교통이나 편의 모두 만족스러워요. 단지 관리상태도 나쁘지 않아요
632,전철역과 푸른 녹지공원이 장점이죠
633,살기좋아요~
634,22평 실거주 후기 궁금해요
635,322동 앞에 엑센트 QM6 진짜 이중주차좀 그만하시죠 주차 자리도있는데 다른 사람들 불편하게 뭐하는지...참  본인만 편하면 되는건가 제발 생각들좀 하고 배려하면서 삽시다 QM6 엑센트...
636,모든 면에서 살기 좋습니다
637,살기 좋아요
638,주차제외 살기좋아요
639,교통 주거 일자리 인프라
640,좋아요
641,최고의 입지
642,교통이 아주 편리합니다.
643,아이 키우며 살기 좋은 곳이에요 ~
644,입지짱
645,"싸다 싸
저평가 구간"
646,관심있어요
647,교통좋고 단지내 산책길 최고지요^^
648,궁금해요
649,버거킹이 가까워서 좋아요
650,26평 15억……와우…!
651,탄천과 정자역이 가까워 좋습니다.
652,교통 좋고 살기 너무 좋아요
653,상록마을 학군이 궁금합니다
654,살기 너무 좋아요
655,산책로도 좋고 실거주에 너무 좋아요
656,7개월만에 거래되네요….
657,여기리모추진하나요?
658,조용하고 교통이 편해요
659,"역세권, 준수한 학군"
660,너무 좋아요 진짜
661,지하철가깝고 탄천가까워좋음
662,조용합니다
663,31평 실거래값
664,역이랑 가깝고 조용하고 살기좋아요
665,역세권 초품아 스세권 콤ㅂㆍㄷ
666,주변상권이 가장좋고 교통도 편리
667,단지내 산책길이 너무 예뻐요.
668,.
669,동네 너무 좋아요~~
670,정자역도 가깝고 살기좋습니다~!
671,정자역 최대역세권이죠
672,살기정말편함
673,좋아요
674,상록우성 삶의 질이 좋습니다.
675,산책로 예쁘고 좋습니다
676,교육 교통 매우 좋습니다
677,소소한 식빵 맛있습니다~
678,위치 좋네요
679,역세권에 조경관리가 잘 되어있습니다
680,여기는 재건축인가요 리모델링인가요?
681,정자동에서 위치
682,살기 좋았어요 ~
683,로얄동이 몇동이에요?
684,조용하고 살기 좋아요
685,"갭투 good  
로또된기분"
686,너무 살기 좋아요!
687,주변에 학원가가 많나요?
688,역 가깝고 초품아 좋아요
689,살기좋음
690,좋습니다 오래살았구요 교통 좋아요
691,대단지. 정자역 가깝고 쾌적.
692,조항요 녹물익어요
693,살아보니 정말 좋은 아파트 입니다
694,입지 좋은 대단지 아파트!
695,나무가 울창해염
696,교통좋아요!
697,보통입니다.
698,역이 가까워서 좋아요
699,입지가 좋아요~~
700,두말할 필요없이 분당 대장이죠
701,"교통, 주변여건이 아주좋습니다"
702,'
703,살기좋아요
704,완전 좋아요
705,아이 키우기에 좋은 환경 대단지
706,재건축은 안 하나요?
707,재건축 또는 리모델링 언제 하나요?
708,아주조아요
709,그냥 보통이네요
710,우성 or 파크뷰 고민되네요
711,교통은 어디내놔도1등!
712,상권이 가까워 좋습니다
713,학군은 어떤가요?
714,탑층 엘리베이터 소음있을까요?ㅠ
715,진짜 가격이 이해가 안된다ㅋㅋㅋㅋ
716,정자역 가까움
717,교통굳 단지 평화롭고 좋다
718,교통 편리하고 살기 좋습니다.
719,편의시설은좋은동네입니다
720,정자역 가까워서 좋아요
721,주변 인프라가 좋습니다
722,가격은 어느정도되나요?
723,좋아요
724,나무랄곳없는 동네
725,맞벌이 어린이집 추천 부탁드려요
726,주차공간 협소했던 기억이...
727,교통이좋습니다 정자동 최고의 입지
728,베리굿 시원해요
729,살기 넘 좋아요
730,살기 좋은 동네
731,주변이 쾌적하고 살기 좋습니다
732,역세권이고 자연친화적이에요
733,살기좋습니다
734,ㅇㅇ
735,여기어때요?
736,"교통, 편의시설이 최고예요"
737,옛날아파트라 별로에여
738,"교통도 편하고, 살기는 좋아요!"
739,주변 걷기가 좋아요
740,살기 좋은곳입니다 조용하고
741,너무 좋아요
742,위치가 정말 좋음
743,살만한듯해서요.
744,아기 키우면서 살기 좋아요
745,공원같은 아파트에요
746,정말 살기좋고 위치좋아요
747,역세권에 살기좋고 연식도 좋음
748,학교 가깝고 조용합니다.
749,정자동 최고의 단지죠
750,살기 좋아요
751,좋음
752,좋아요 ㅎㅎ
753,교통이 좋아 살기 편해요
754,교통이 편리해서 좋아요
755,주차가 너무 불편해요 ㅠㅠ
756,교통편리하고 쾌적합니다.
757,20
758,층간소음 빼면 최고입니다
759,궁금
760,동파문제는 없나요?
761,조용하고 좋습니다
762,살기편할것같아 보고있는중임
763,ㅁ
764,교통좋아요
765,교통 좋아요
766,좋아요
767,위치좋아요
768,아기 키우기에 참 좋은 동네에요
769,살아보고 싶네요.
770,주변아파트들 중에서 최고의 환경
771,ㅣㅣㅣㅣㅣㅣ
772,단지 분위기 좋습니다
773,위치가 넘나 좋아요
774,오래된 점 말고는 괜찮아요
775,살기좋아요
776,.
777,지하철 가깝고 좋아요
778,초중고가 다 200미터 안
779,교통조건과편안한환경이역시매력이에요
780,교통이 좋음
781,정자역이랑 가까워서 정말 편리해요.
782,좋아요
783,.
784,위치가 너무 좋아요~~
785,좋아요
